train/actor_loss,train/learning_rate,time/episodes,time/fps,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,train/critic_loss
,,1568,301,790000,,2620,,500.0,158.8345963,,
,,1572,301,790000,,2620,,500.0,158.8345963,,
,,1576,301,790000,,2620,,500.0,158.8345963,,
,,1580,301,790000,,2620,,500.0,158.8345963,,
-8.859387397766113,0.00075,1584,301,800000,-0.9658966064453125,2654,39834,500.0,200.492196,0.004186063073575497,0.08586080372333527
,,1588,301,800000,,2654,,500.0,200.492196,,
,,1592,301,800000,,2654,,500.0,200.492196,,
,,1596,301,800000,,2655,,500.0,200.492196,,
,,1600,301,800000,,2655,,500.0,200.492196,,
-10.277414321899414,0.00075,1604,300,810000,-4.873581886291504,2691,40334,500.0,181.77495688000002,0.004050921183079481,0.33315229415893555
,,1608,300,810000,,2691,,500.0,181.77495688000002,,
,,1612,300,810000,,2691,,500.0,181.77495688000002,,
,,1616,300,810000,,2691,,500.0,181.77495688000002,,
,,1620,300,810000,,2691,,500.0,181.77495688000002,,
-10.6819486618042,0.00075,1624,300,820000,5.524894714355469,2726,40834,500.0,145.84364846,0.004294105805456638,0.2176283299922943
,,1628,300,820000,,2726,,500.0,145.84364846,,
,,1632,300,820000,,2726,,500.0,145.84364846,,
,,1636,300,820000,,2726,,500.0,145.84364846,,
,,1640,300,820000,,2726,,500.0,145.84364846,,
-10.636606216430664,0.00075,1644,300,830000,-1.5032073259353638,2761,41334,500.0,174.01543135,0.004533964209258556,0.3378598093986511
,,1648,300,830000,,2761,,500.0,174.01543135,,
,,1652,300,830000,,2761,,500.0,174.01543135,,
,,1656,300,830000,,2761,,500.0,174.01543135,,
,,1660,300,830000,,2761,,500.0,174.01543135,,
-10.12558650970459,0.00075,1664,300,840000,4.111872673034668,2795,41834,500.0,189.59664754999997,0.004751000553369522,0.655614972114563
,,1668,300,840000,,2795,,500.0,189.59664754999997,,
,,1672,300,840000,,2795,,500.0,189.59664754999997,,
,,1676,300,840000,,2795,,500.0,189.59664754999997,,
,,1680,300,840000,,2795,,500.0,189.59664754999997,,
-8.29625415802002,0.00075,1684,300,850000,1.8420252799987793,2830,42334,500.0,145.74435616,0.005038607399910688,0.31559479236602783
,,1688,300,850000,,2830,,500.0,145.74435616,,
,,1692,300,850000,,2830,,500.0,145.74435616,,
,,1696,300,850000,,2830,,500.0,145.74435616,,
,,1700,300,850000,,2830,,500.0,145.74435616,,
-12.27189826965332,0.00075,1704,300,860000,-1.5478239059448242,2865,42834,500.0,187.54318944999994,0.004796238150447607,0.4314929246902466
,,1708,300,860000,,2865,,500.0,187.54318944999994,,
,,1712,300,860000,,2865,,500.0,187.54318944999994,,
,,1716,300,860000,,2865,,500.0,187.54318944999994,,
,,1720,300,860000,,2865,,500.0,187.54318944999994,,
-9.644723892211914,0.00075,1724,300,870000,-0.25747108459472656,2899,43334,500.0,208.49324881,0.004766148515045643,0.38401079177856445
,,1728,300,870000,,2899,,500.0,208.49324881,,
,,1732,300,870000,,2899,,500.0,208.49324881,,
,,1736,300,870000,,2899,,500.0,208.49324881,,
,,1740,300,870000,,2899,,500.0,208.49324881,,
-14.057416915893555,0.00075,1744,299,880000,2.852827548980713,2934,43834,500.0,192.71114765,0.005665066186338663,0.7234639525413513
,,1748,299,880000,,2934,,500.0,192.71114765,,
,,1752,299,880000,,2934,,500.0,192.71114765,,
,,1756,299,880000,,2934,,500.0,192.71114765,,
,,1760,299,880000,,2934,,500.0,192.71114765,,
-12.45352840423584,0.00075,1764,299,890000,5.209874153137207,2969,44334,500.0,164.14601693999998,0.0053214724175632,0.30456477403640747
,,1768,299,890000,,2969,,500.0,164.14601693999998,,
,,1772,299,890000,,2969,,500.0,164.14601693999998,,
,,1776,299,890000,,2969,,500.0,164.14601693999998,,
,,1780,299,890000,,2969,,500.0,164.14601693999998,,
-12.301971435546875,0.00075,1784,299,900000,2.449857711791992,3003,44834,500.0,206.88556111999998,0.005240561906248331,1.2343885898590088
,,1788,299,900000,,3003,,500.0,206.88556111999998,,
,,1792,299,900000,,3003,,500.0,206.88556111999998,,
,,1796,299,900000,,3003,,500.0,206.88556111999998,,
,,1800,299,900000,,3003,,500.0,206.88556111999998,,
-13.806635856628418,0.00075,1804,299,910000,7.339150905609131,3037,45334,500.0,196.35812784,0.005513967014849186,7.227891445159912
,,1808,299,910000,,3037,,500.0,196.35812784,,
,,1812,299,910000,,3037,,500.0,196.35812784,,
,,1816,299,910000,,3037,,500.0,196.35812784,,
,,1820,299,910000,,3037,,500.0,196.35812784,,
-12.706538200378418,0.00075,1824,299,920000,-1.818197250366211,3070,45834,500.0,192.74136230000005,0.005467731971293688,1.6117119789123535
,,1828,299,920000,,3070,,500.0,192.74136230000005,,
,,1832,299,920000,,3070,,500.0,192.74136230000005,,
,,1836,299,920000,,3070,,500.0,192.74136230000005,,
,,1840,299,920000,,3070,,500.0,192.74136230000005,,
-11.778158187866211,0.00075,1844,299,930000,-4.297694206237793,3104,46334,500.0,192.28452676999999,0.005828644149005413,1.0131731033325195
,,1848,299,930000,,3104,,500.0,192.28452676999999,,
,,1852,299,930000,,3104,,500.0,192.28452676999999,,
,,1856,299,930000,,3104,,500.0,192.28452676999999,,
,,1860,299,930000,,3104,,500.0,192.28452676999999,,
-14.098176956176758,0.00075,1864,299,940000,4.973163604736328,3139,46834,500.0,213.12539522999998,0.005727795418351889,0.8270826935768127
,,1868,299,940000,,3139,,500.0,213.12539522999998,,
,,1872,299,940000,,3139,,500.0,213.12539522999998,,
,,1876,299,940000,,3139,,500.0,213.12539522999998,,
,,1880,299,940000,,3139,,500.0,213.12539522999998,,
-14.812822341918945,0.00075,1884,299,950000,4.022034645080566,3173,47334,500.0,181.49829754000007,0.005756630562245846,0.7578682899475098
,,1888,299,950000,,3173,,500.0,181.49829754000007,,
,,1892,299,950000,,3173,,500.0,181.49829754000007,,
,,1896,299,950000,,3173,,500.0,181.49829754000007,,
,,1900,299,950000,,3173,,500.0,181.49829754000007,,
-15.692771911621094,0.00075,1904,299,960000,-4.133180618286133,3207,47834,500.0,172.47349928,0.0061156731098890305,0.5362755060195923
,,1908,299,960000,,3207,,500.0,172.47349928,,
,,1912,299,960000,,3207,,500.0,172.47349928,,
,,1916,299,960000,,3207,,500.0,172.47349928,,
,,1920,299,960000,,3207,,500.0,172.47349928,,
-15.298894882202148,0.00075,1924,299,970000,5.754297256469727,3241,48334,500.0,200.95930887999998,0.005971423350274563,0.49175959825515747
,,1928,299,970000,,3241,,500.0,200.95930887999998,,
,,1932,299,970000,,3241,,500.0,200.95930887999998,,
,,1936,299,970000,,3241,,500.0,200.95930887999998,,
,,1940,299,970000,,3241,,500.0,200.95930887999998,,
-15.787638664245605,0.00075,1944,299,980000,6.79998779296875,3274,48834,500.0,207.60701862999997,0.006259651388972998,1.3753492832183838
,,1948,299,980000,,3274,,500.0,207.60701862999997,,
,,1952,299,980000,,3274,,500.0,207.60701862999997,,
,,1956,299,980000,,3274,,500.0,207.60701862999997,,
,,1960,299,980000,,3274,,500.0,207.60701862999997,,
-15.822729110717773,0.00075,1964,299,990000,3.4423346519470215,3306,49334,500.0,191.92472120000002,0.006048050243407488,0.3731914758682251
,,1968,299,990000,,3306,,500.0,191.92472120000002,,
,,1972,299,990000,,3306,,500.0,191.92472120000002,,
,,1976,299,990000,,3306,,500.0,191.92472120000002,,
,,1980,299,990000,,3306,,500.0,191.92472120000002,,
-14.092714309692383,0.00075,1984,299,1000000,-3.6480209827423096,3338,49834,500.0,195.10088568000006,0.006636598147451878,0.8583520650863647
,,1988,299,1000000,,3338,,500.0,195.10088568000006,,
,,1992,299,1000000,,3338,,500.0,195.10088568000006,,
,,1996,299,1000000,,3338,,500.0,195.10088568000006,,
,,2000,299,1000000,,3338,,500.0,195.10088568000006,,
