train/actor_loss,train/learning_rate,time/episodes,time/fps,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,train/critic_loss
,,292,308,150000,,485,,500.0,1.3442100300000002,,
,,296,308,150000,,485,,500.0,1.3442100300000002,,
,,300,308,150000,,485,,500.0,1.3442100300000002,,
-18.306806564331055,0.00075,304,308,160000,-14.469783782958984,518,7834,500.0,2.2194666400000003,0.004766769241541624,0.050376567989587784
,,308,308,160000,,518,,500.0,2.2194666400000003,,
,,312,308,160000,,518,,500.0,2.2194666400000003,,
,,316,308,160000,,518,,500.0,2.2194666400000003,,
,,320,308,160000,,518,,500.0,2.2194666400000003,,
-17.533742904663086,0.00075,324,308,170000,4.235060691833496,551,8334,500.0,2.34316748,0.004253425635397434,2.680128574371338
,,328,308,170000,,551,,500.0,2.34316748,,
,,332,308,170000,,551,,500.0,2.34316748,,
,,336,308,170000,,551,,500.0,2.34316748,,
,,340,308,170000,,551,,500.0,2.34316748,,
-17.152864456176758,0.00075,344,307,180000,-6.275132179260254,585,8834,500.0,2.9790069100000007,0.003815861651673913,1.708836555480957
,,348,307,180000,,585,,500.0,2.9790069100000007,,
,,352,307,180000,,585,,500.0,2.9790069100000007,,
,,356,307,180000,,585,,500.0,2.9790069100000007,,
,,360,307,180000,,585,,500.0,2.9790069100000007,,
