train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/episodes,train/critic_loss,train/ent_coef_loss,train/n_updates
-17.494626998901367,0.00075,0.00398235721513629,500.0,1.14753549,556,119000,213,230,0.03436732292175293,-20.052745819091797,8264
-16.578659057617188,0.00075,0.003329210914671421,500.0,1.1191953099999998,589,126000,213,240,1.5239439010620117,1.9564353227615356,8764
,,,500.0,1.1191953099999998,589,126000,213,250,,,
-16.490360260009766,0.00075,0.003037824295461178,500.0,1.1182316700000001,620,133000,214,260,3.1441726684570312,4.110157012939453,9264
-16.65829086303711,0.00075,0.0027465505991131067,500.0,1.42196346,652,140000,214,270,2.8329341411590576,0.008145809173583984,9764
,,,500.0,1.42196346,652,140000,214,280,,,
-16.277713775634766,0.00075,0.002693097572773695,500.0,1.38246816,685,147000,214,290,0.05147522687911987,5.715814590454102,10264
-15.74676513671875,0.00075,0.0026911951135843992,500.0,1.3820697399999997,717,154000,214,300,1.7610533237457275,-10.248140335083008,10764
-15.54810905456543,0.00075,0.0024684034287929535,500.0,1.3305082400000001,750,161000,214,310,0.05159744992852211,-0.1822052001953125,11264
,,,500.0,1.3305082400000001,750,161000,214,320,,,
-15.070664405822754,0.00075,0.0023976548109203577,500.0,1.6629656,782,168000,214,330,0.024541055783629417,-2.109492301940918,11764
-14.938249588012695,0.00075,0.0021169099491089582,500.0,1.7045719200000002,815,175000,214,340,0.017964746803045273,4.3571367263793945,12264
,,,500.0,1.7045719200000002,815,175000,214,350,,,
-14.471945762634277,0.00075,0.0021474522072821856,500.0,1.9296664300000002,849,182000,214,360,0.020966406911611557,11.076851844787598,12764
-14.259405136108398,0.00075,0.0021145008504390717,500.0,1.9040205700000001,882,189000,214,370,0.02068834938108921,5.991730690002441,13264
-13.605340957641602,0.00075,0.0021229346748441458,500.0,1.8076267799999999,916,196000,213,380,0.09698131680488586,-3.244925022125244,13764
,,,500.0,1.8076267799999999,916,196000,213,390,,,
-13.55093765258789,0.00075,0.002333263633772731,500.0,2.57887116,950,203000,213,400,0.015634719282388687,-1.1259198188781738,14264
-13.423053741455078,0.00075,0.0020892254542559385,500.0,2.8031964800000004,983,210000,213,410,0.033225249499082565,-2.3920109272003174,14764
,,,500.0,2.8031964800000004,983,210000,213,420,,,
-12.657819747924805,0.00075,0.002161429962143302,500.0,2.6105446999999997,1016,217000,213,430,1.2420077323913574,2.1773695945739746,15264
