train/n_updates,time/episodes,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,train/learning_rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef_loss,train/critic_loss,train/ent_coef
,316,500.0,,160000,,300,1.789621,532,,,
,320,500.0,,160000,,300,1.789621,532,,,
8334,324,500.0,-18.226552963256836,170000,0.00075,300,1.8485936699999999,566,2.871192455291748,0.03373227268457413,0.004347869660705328
,328,500.0,,170000,,300,1.8485936699999999,566,,,
,332,500.0,,170000,,300,1.8485936699999999,566,,,
,336,500.0,,170000,,300,1.8485936699999999,566,,,
,340,500.0,,170000,,300,1.8485936699999999,566,,,
8834,344,500.0,-18.034423828125,180000,0.00075,299,2.86899005,600,-8.812825202941895,0.0332048237323761,0.0038221387658268213
,348,500.0,,180000,,299,2.86899005,600,,,
,352,500.0,,180000,,299,2.86899005,600,,,
,356,500.0,,180000,,299,2.86899005,600,,,
,360,500.0,,180000,,299,2.86899005,600,,,
