train/critic_loss,train/ent_coef,train/actor_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/ent_coef_loss
0.029449183493852615,0.004157765302807093,-17.88450813293457,500.0,8334,1.2287074199999999,324,405,418,170000,0.00075,-17.398696899414062
,,,500.0,,1.2287074199999999,328,405,418,170000,,
,,,500.0,,1.2287074199999999,332,405,418,170000,,
,,,500.0,,1.2287074199999999,336,405,419,170000,,
,,,500.0,,1.2287074199999999,340,405,419,170000,,
0.06074973940849304,0.0037354654632508755,-17.44161605834961,500.0,8834,1.2117313399999998,344,405,443,180000,0.00075,-6.3591179847717285
,,,500.0,,1.2117313399999998,348,405,443,180000,,
,,,500.0,,1.2117313399999998,352,405,443,180000,,
,,,500.0,,1.2117313399999998,356,405,443,180000,,
,,,500.0,,1.2117313399999998,360,405,443,180000,,
