time/total_timesteps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/n_updates,time/episodes,train/ent_coef,rollout/ep_len_mean
98000,-19.58539581298828,0.043237507343292236,0.87828446,216,453,0.00075,-30.807010650634766,6764,190,0.008106684312224388,500.0
105000,-19.247272491455078,0.046322233974933624,0.86139391,215,487,0.00075,-27.610830307006836,7264,200,0.006294128019362688,500.0
105000,,,0.86139391,215,487,,,,210,,500.0
112000,-19.01134490966797,0.09201718866825104,0.8690192999999999,215,520,0.00075,-18.827213287353516,7764,220,0.005080223083496094,500.0
119000,-18.438404083251953,0.02322792261838913,0.8903148399999999,214,554,0.00075,-15.042952537536621,8264,230,0.00424343254417181,500.0
126000,-18.37891960144043,0.040791865438222885,0.8864703,214,587,0.00075,-13.135248184204102,8764,240,0.003678334876894951,500.0
126000,,,0.8864703,214,587,,,,250,,500.0
133000,-17.2498836517334,0.7327897548675537,0.8871094099999999,214,620,0.00075,-5.281791687011719,9264,260,0.0032720838207751513,500.0
140000,-17.333112716674805,2.482287883758545,0.91035138,213,654,0.00075,-4.169386863708496,9764,270,0.0030512195080518723,500.0
140000,,,0.91035138,213,654,,,,280,,500.0
147000,-16.889108657836914,0.03294835984706879,0.8721431299999999,213,688,0.00075,9.684747695922852,10264,290,0.002695408882573247,500.0
154000,-16.67282485961914,0.017818108201026917,0.99905397,213,722,0.00075,-6.199299335479736,10764,300,0.00252337334677577,500.0
161000,-16.234262466430664,0.026302125304937363,1.51735951,212,756,0.00075,-5.171102046966553,11264,310,0.0024528277572244406,500.0
161000,,,1.51735951,212,756,,,,320,,500.0
168000,-15.739374160766602,0.028931226581335068,1.4949690700000002,212,790,0.00075,-2.6414074897766113,11764,330,0.002389892004430294,500.0
175000,-15.387680053710938,0.9449682235717773,1.5284524199999994,212,823,0.00075,-11.860239028930664,12264,340,0.0022423097398132086,500.0
175000,,,1.5284524199999994,212,823,,,,350,,500.0
182000,-15.222236633300781,0.01559878047555685,1.53828497,212,857,0.00075,1.1525459289550781,12764,360,0.0022349078208208084,500.0
189000,-14.495723724365234,0.05778748542070389,1.4875569499999994,212,890,0.00075,10.191376686096191,13264,370,0.002146833809092641,500.0
196000,-14.458633422851562,0.018562160432338715,1.70027019,212,923,0.00075,-3.4187541007995605,13764,380,0.0023841860238462687,500.0
196000,,,1.70027019,212,923,,,,390,,500.0
203000,-14.118179321289062,0.019184116274118423,1.6916939900000003,212,957,0.00075,-2.6077780723571777,14264,400,0.0022975411266088486,500.0
210000,-13.777166366577148,0.01810784637928009,1.36376973,212,990,0.00075,5.663068771362305,14764,410,0.002422311343252659,500.0
210000,,,1.36376973,212,990,,,,420,,500.0
217000,-13.435091018676758,0.02353321760892868,1.204043,211,1024,0.00075,7.713840007781982,15264,430,0.0021391555201262236,500.0
224000,-13.168630599975586,0.024364348500967026,1.1884811299999998,211,1057,0.00075,6.571909427642822,15764,440,0.001997395185753703,500.0
231000,-13.028457641601562,1.482092022895813,1.25314607,211,1091,0.00075,16.01070213317871,16264,450,0.001960102701559663,500.0
231000,,,1.25314607,211,1091,,,,460,,500.0
238000,-12.542977333068848,0.018548626452684402,1.3602560199999993,211,1124,0.00075,-2.691760301589966,16764,470,0.0021180319599807262,500.0
245000,-12.472784042358398,1.1057853698730469,1.3466109899999998,211,1158,0.00075,-2.0729732513427734,17264,480,0.002067633206024766,500.0
245000,,,1.3466109899999998,211,1158,,,,490,,500.0
252000,-12.269930839538574,1.290621042251587,1.8382258199999995,211,1191,0.00075,10.02613639831543,17764,500,0.0021755003836005926,500.0
259000,-11.805553436279297,0.009546030312776566,2.4157515599999995,211,1226,0.00075,6.630973815917969,18264,510,0.0020136646926403046,500.0
266000,-11.809076309204102,0.008245395496487617,2.3962409799999995,211,1260,0.00075,-3.654677391052246,18764,520,0.0019055460579693317,500.0
266000,,,2.3962409799999995,211,1260,,,,530,,500.0
273000,-11.422492980957031,0.010255662724375725,2.753678,210,1293,0.00075,-9.41870403289795,19264,540,0.002009170362725854,500.0
280000,-11.215971946716309,0.9615803956985474,5.947365739999999,210,1328,0.00075,-1.4700552225112915,19764,550,0.0020532151684165,500.0
280000,,,5.947365739999999,210,1328,,,,560,,500.0
287000,-10.95103645324707,0.009921560063958168,5.983733369999999,210,1362,0.00075,-1.1347309350967407,20264,570,0.0019226768054068089,500.0
294000,-10.74643325805664,0.020602358505129814,5.956008269999999,210,1395,0.00075,1.6023237705230713,20764,580,0.0017920900136232376,500.0
301000,-10.367490768432617,0.008009294047951698,5.4632342299999985,210,1428,0.00075,-7.252068519592285,21264,590,0.0016156906494870782,500.0
301000,,,5.4632342299999985,210,1428,,,,600,,500.0
308000,-10.24991226196289,0.7717050909996033,5.02680622,210,1463,0.00075,3.2425174713134766,21764,610,0.0015628822147846222,500.0
315000,-10.007217407226562,0.9591220617294312,5.00836235,210,1497,0.00075,-1.4589840173721313,22264,620,0.0018060740549117327,500.0
315000,,,5.00836235,210,1497,,,,630,,500.0
322000,-9.787430763244629,0.01285496074706316,4.9016474799999985,210,1531,0.00075,-6.248740196228027,22764,640,0.001607000594958663,500.0
329000,-9.467987060546875,0.011668834835290909,1.5830975699999998,210,1565,0.00075,5.383739471435547,23264,650,0.0015030915383249521,500.0
336000,-9.299976348876953,1.1215500831604004,1.6195333699999999,210,1599,0.00075,-8.519620895385742,23764,660,0.0014679672894999385,500.0
336000,,,1.6195333699999999,210,1599,,,,670,,500.0
343000,-9.105297088623047,0.2329491376876831,1.6327015099999997,210,1632,0.00075,5.52651309967041,24264,680,0.0017163233133032918,500.0
350000,-8.924995422363281,0.02308269962668419,1.53216937,209,1666,0.00075,7.409428119659424,24764,690,0.0015245407121255994,500.0
350000,,,1.53216937,209,1666,,,,700,,500.0
357000,-8.764289855957031,0.00463968375697732,1.58224723,209,1700,0.00075,-6.400080680847168,25264,710,0.0013588323490694165,500.0
364000,-8.461851119995117,0.009450357407331467,1.87789714,209,1734,0.00075,6.53762149810791,25764,720,0.0014176105614751577,500.0
371000,-8.444011688232422,0.008658219128847122,2.81420077,209,1767,0.00075,5.44672966003418,26264,730,0.0012288548750802875,500.0
371000,,,2.81420077,209,1767,,,,740,,500.0
378000,-8.235382080078125,0.0031639779917895794,2.8132135,209,1801,0.00075,-13.539236068725586,26764,750,0.001357518951408565,500.0
385000,-7.934047698974609,0.5524682998657227,2.8201125599999997,209,1834,0.00075,-0.29114842414855957,27264,760,0.0012634772574529052,500.0
385000,,,2.8201125599999997,209,1834,,,,770,,500.0
392000,-7.831588268280029,0.3959118127822876,2.6973237900000004,209,1868,0.00075,-1.8173295259475708,27764,780,0.0012448927154764533,500.0
399000,-7.565868377685547,0.015522412955760956,2.6796332700000005,209,1902,0.00075,1.1805646419525146,28264,790,0.0013412818079814315,500.0
406000,-7.416977882385254,0.29545921087265015,2.65877209,209,1936,0.00075,5.296354293823242,28764,800,0.0012480446603149176,500.0
406000,,,2.65877209,209,1936,,,,810,,500.0
413000,-7.422337055206299,0.013958178460597992,2.18098192,209,1969,0.00075,-6.129363059997559,29264,820,0.0011415843619033694,500.0
420000,-7.125679969787598,0.011578208766877651,1.6363221500000003,209,2003,0.00075,-2.9442102909088135,29764,830,0.0012218346819281578,500.0
420000,,,1.6363221500000003,209,2003,,,,840,,500.0
427000,-7.047145366668701,0.004142268560826778,1.11304156,209,2036,0.00075,-7.042280673980713,30264,850,0.0012398945400491357,500.0
434000,-6.9724602699279785,0.013655665330588818,1.0051999699999998,209,2069,0.00075,1.8463715314865112,30764,860,0.0012216774048283696,500.0
441000,-6.71071195602417,0.0037695521023124456,0.95448736,209,2103,0.00075,8.138513565063477,31264,870,0.0012793884379789233,500.0
441000,,,0.95448736,209,2103,,,,880,,500.0
448000,-6.824837684631348,0.009394381195306778,0.96397823,209,2137,0.00075,-5.389741897583008,31764,890,0.00117680209223181,500.0
455000,-6.356804370880127,0.01983078010380268,0.89690114,209,2170,0.00075,27.59967613220215,32264,900,0.001294329878874123,500.0
455000,,,0.89690114,209,2170,,,,910,,500.0
462000,-6.341037273406982,0.011439370922744274,0.9124929200000002,209,2203,0.00075,-0.597287654876709,32764,920,0.0012052021920681,500.0
469000,-6.215149402618408,0.010488799773156643,0.75419525,209,2236,0.00075,-10.77119255065918,33264,930,0.0011973289074376225,500.0
476000,-6.501065254211426,0.006004244089126587,0.7358115299999999,209,2269,0.00075,-15.470067024230957,33764,940,0.001084689749404788,500.0
476000,,,0.7358115299999999,209,2269,,,,950,,500.0
483000,-6.059572219848633,0.008897695690393448,0.72163709,209,2302,0.00075,3.1059436798095703,34264,960,0.0010568532161414623,500.0
490000,-6.011378288269043,0.03170345723628998,0.90321043,209,2335,0.00075,-8.700660705566406,34764,970,0.0010347048519179225,500.0
490000,,,0.90321043,209,2335,,,,980,,500.0
497000,-5.916950702667236,0.00966077670454979,1.0259668599999998,209,2370,0.00075,-7.768210411071777,35264,990,0.0010743489256128669,500.0
504000,-5.900967597961426,0.020359523594379425,1.4122919499999997,209,2404,0.00075,1.9522597789764404,35764,1000,0.001024549244903028,500.0
511000,-5.622077941894531,0.008703213185071945,1.8048051800000002,209,2437,0.00075,7.4276838302612305,36264,1010,0.0010551372542977333,500.0
511000,,,1.8048051800000002,209,2437,,,,1020,,500.0
518000,-5.407169342041016,0.0042381128296256065,2.8933182700000004,209,2471,0.00075,-6.851191997528076,36764,1030,0.0011339688207954168,500.0
525000,-5.455818176269531,0.008279488421976566,3.3465494700000007,209,2504,0.00075,-2.2952985763549805,37264,1040,0.0011044489219784737,500.0
525000,,,3.3465494700000007,209,2504,,,,1050,,500.0
