train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,time/fps,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss
-8.91604232788086,10.081595320000002,1717,364000,6.948345184326172,500.0,720,211,0.00075,25764,0.0015412889188155532,0.012240403331816196
-8.235820770263672,10.09379426,1751,371000,-2.079704999923706,500.0,730,211,0.00075,26264,0.0014638759894296527,0.512454628944397
,10.09379426,1751,371000,,500.0,740,211,,,,
-8.100519180297852,11.853676210000001,1784,378000,-2.298584222793579,500.0,750,211,0.00075,26764,0.0014624939067289233,0.04027672857046127
-8.27332878112793,12.076872889999999,1817,385000,-1.7283755540847778,500.0,760,211,0.00075,27264,0.0014225231716409326,0.23520970344543457
,12.076872889999999,1817,385000,,500.0,770,211,,,,
-7.79838228225708,11.966575769999999,1850,392000,13.237005233764648,500.0,780,211,0.00075,27764,0.001543080317787826,0.04265553131699562
-7.69608211517334,11.36577309,1884,399000,-3.306028127670288,500.0,790,211,0.00075,28264,0.0017004619585350156,0.3369145393371582
-7.872161388397217,7.4288769399999985,1918,406000,-7.824828147888184,500.0,800,211,0.00075,28764,0.001658909022808075,0.020014511421322823
,7.4288769399999985,1918,406000,,500.0,810,211,,,,
-7.564567565917969,6.917967109999999,1951,413000,-13.366653442382812,500.0,820,211,0.00075,29264,0.0016460472252219915,0.03862287849187851
-7.562294960021973,9.93179773,1985,420000,3.477459669113159,500.0,830,211,0.00075,29764,0.0017509018070995808,0.03202629089355469
,9.93179773,1985,420000,,500.0,840,211,,,,
-7.173279762268066,8.37285239,2018,427000,-1.6801905632019043,500.0,850,211,0.00075,30264,0.0015453253872692585,0.02078167349100113
-7.121712684631348,8.74059044,2052,434000,-7.672845840454102,500.0,860,211,0.00075,30764,0.0015864474698901176,0.014603977091610432
-7.081583023071289,8.496905390000002,2085,441000,0.8327610492706299,500.0,870,211,0.00075,31264,0.0015406967140734196,0.25929465889930725
,8.496905390000002,2085,441000,,500.0,880,211,,,,
-7.06719970703125,8.403601549999998,2119,448000,6.370916843414307,500.0,890,211,0.00075,31764,0.001537590753287077,0.05236893519759178
-6.714578628540039,10.10755323,2152,455000,2.1168220043182373,500.0,900,211,0.00075,32264,0.0016398479929193854,0.04583388566970825
,10.10755323,2152,455000,,500.0,910,211,,,,
-6.563867568969727,9.84695794,2185,462000,-6.734113693237305,500.0,920,211,0.00075,32764,0.0016240557888522744,0.04123343154788017
-6.358615398406982,10.189185070000002,2219,469000,-1.1792067289352417,500.0,930,211,0.00075,33264,0.001681696274317801,0.3152954578399658
-6.629098892211914,9.96614643,2253,476000,7.241158485412598,500.0,940,211,0.00075,33764,0.001536551397293806,0.11465910077095032
,9.96614643,2253,476000,,500.0,950,211,,,,
-6.4037699699401855,13.534639649999999,2286,483000,-9.822616577148438,500.0,960,211,0.00075,34264,0.0017383162630721927,0.024441581219434738
-6.761094093322754,14.555047750000002,2320,490000,3.8768088817596436,500.0,970,211,0.00075,34764,0.0015399189433082938,0.05653224140405655
,14.555047750000002,2320,490000,,500.0,980,211,,,,
