time/episodes,train/ent_coef_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,time/time_elapsed,time/total_timesteps
140,,500.0,1.5005495400000002,314,,,,,,222,70000
144,-33.531211853027344,500.0,1.6376083699999997,314,0.00075,-22.359310150146484,3834,0.03299253433942795,0.056788306683301926,254,80000
148,,500.0,1.6376083699999997,314,,,,,,254,80000
152,,500.0,1.6376083699999997,314,,,,,,254,80000
156,,500.0,1.6376083699999997,314,,,,,,254,80000
160,,500.0,1.6376083699999997,314,,,,,,254,80000
164,-36.872711181640625,500.0,1.4693847799999997,313,0.00075,-22.03611946105957,4334,3.6955349445343018,0.039240285754203796,286,90000
168,,500.0,1.4693847799999997,313,,,,,,286,90000
172,,500.0,1.4693847799999997,313,,,,,,286,90000
176,,500.0,1.4693847799999997,313,,,,,,286,90000
180,,500.0,1.4693847799999997,313,,,,,,286,90000
184,-37.74555206298828,500.0,1.45267222,313,0.00075,-21.60821533203125,4834,0.13772962987422943,0.027343830093741417,318,100000
188,,500.0,1.45267222,313,,,,,,318,100000
192,,500.0,1.45267222,313,,,,,,318,100000
196,,500.0,1.45267222,313,,,,,,318,100000
200,,500.0,1.45267222,313,,,,,,318,100000
204,-42.455291748046875,500.0,1.24698478,313,0.00075,-21.206375122070312,5334,0.04249145835638046,0.0192484762519598,350,110000
208,,500.0,1.24698478,313,,,,,,350,110000
212,,500.0,1.24698478,313,,,,,,350,110000
216,,500.0,1.24698478,313,,,,,,350,110000
220,,500.0,1.24698478,313,,,,,,350,110000
224,-31.88542366027832,500.0,1.2654078699999998,313,0.00075,-20.88656234741211,5834,0.05177783593535423,0.013898024335503578,382,120000
228,,500.0,1.2654078699999998,313,,,,,,382,120000
232,,500.0,1.2654078699999998,313,,,,,,382,120000
236,,500.0,1.2654078699999998,313,,,,,,382,120000
240,,500.0,1.2654078699999998,313,,,,,,382,120000
244,-24.95571517944336,500.0,1.07894796,313,0.00075,-19.892440795898438,6334,0.07123216986656189,0.010187958367168903,414,130000
248,,500.0,1.07894796,313,,,,,,414,130000
252,,500.0,1.07894796,313,,,,,,414,130000
256,,500.0,1.07894796,313,,,,,,414,130000
260,,500.0,1.07894796,313,,,,,,414,130000
264,-27.6702880859375,500.0,1.27739773,313,0.00075,-19.573640823364258,6834,2.759963035583496,0.007619269657880068,446,140000
268,,500.0,1.27739773,313,,,,,,446,140000
272,,500.0,1.27739773,313,,,,,,446,140000
276,,500.0,1.27739773,313,,,,,,446,140000
280,,500.0,1.27739773,313,,,,,,446,140000
284,-16.10137367248535,500.0,1.6888036699999995,313,0.00075,-19.003326416015625,7334,0.03310999274253845,0.0059586153365671635,477,150000
288,,500.0,1.6888036699999995,313,,,,,,477,150000
292,,500.0,1.6888036699999995,313,,,,,,477,150000
296,,500.0,1.6888036699999995,313,,,,,,477,150000
300,,500.0,1.6888036699999995,313,,,,,,477,150000
304,-27.75220489501953,500.0,2.29815711,313,0.00075,-18.281494140625,7834,2.3798437118530273,0.004676606971770525,510,160000
308,,500.0,2.29815711,313,,,,,,510,160000
312,,500.0,2.29815711,313,,,,,,510,160000
316,,500.0,2.29815711,313,,,,,,510,160000
320,,500.0,2.29815711,313,,,,,,510,160000
324,-13.75107192993164,500.0,3.06831532,312,0.00075,-17.824228286743164,8334,3.8667654991149902,0.0038315127603709698,544,170000
328,,500.0,3.06831532,312,,,,,,544,170000
332,,500.0,3.06831532,312,,,,,,544,170000
336,,500.0,3.06831532,312,,,,,,544,170000
340,,500.0,3.06831532,312,,,,,,544,170000
344,-16.90373992919922,500.0,2.98809895,311,0.00075,-17.958715438842773,8834,0.02526177652180195,0.003295488189905882,577,180000
348,,500.0,2.98809895,311,,,,,,577,180000
352,,500.0,2.98809895,311,,,,,,577,180000
356,,500.0,2.98809895,311,,,,,,577,180000
360,,500.0,2.98809895,311,,,,,,577,180000
