time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/ent_coef,time/fps,train/learning_rate
164,1.5005392099999997,500.0,90000,298,4334,-22.09107208251953,-36.33251953125,0.025621656328439713,0.0393868125975132,301,0.00075
168,1.5005392099999997,500.0,90000,298,,,,,,301,
172,1.5005392099999997,500.0,90000,298,,,,,,301,
176,1.5005392099999997,500.0,90000,298,,,,,,301,
180,1.5005392099999997,500.0,90000,298,,,,,,301,
184,2.08785602,500.0,100000,331,4834,-21.595394134521484,-40.02281188964844,0.03168877959251404,0.027451982721686363,301,0.00075
188,2.08785602,500.0,100000,331,,,,,,301,
192,2.08785602,500.0,100000,331,,,,,,301,
196,2.08785602,500.0,100000,331,,,,,,301,
200,2.08785602,500.0,100000,331,,,,,,301,
204,2.2583405,500.0,110000,364,5334,-21.005023956298828,-41.955421447753906,3.4830400943756104,0.01923437975347042,302,0.00075
208,2.2583405,500.0,110000,364,,,,,,302,
212,2.2583405,500.0,110000,364,,,,,,302,
216,2.2583405,500.0,110000,364,,,,,,302,
220,2.2583405,500.0,110000,364,,,,,,302,
224,2.1864995899999995,500.0,120000,398,5834,-20.26549530029297,-39.785011291503906,0.04315672814846039,0.013574045151472092,301,0.00075
228,2.1864995899999995,500.0,120000,398,,,,,,301,
232,2.1864995899999995,500.0,120000,398,,,,,,301,
236,2.1864995899999995,500.0,120000,398,,,,,,301,
240,2.1864995899999995,500.0,120000,398,,,,,,301,
244,2.1727461099999994,500.0,130000,431,6334,-20.183780670166016,-38.350746154785156,0.025437433272600174,0.01008016150444746,301,0.00075
248,2.1727461099999994,500.0,130000,431,,,,,,301,
252,2.1727461099999994,500.0,130000,431,,,,,,301,
256,2.1727461099999994,500.0,130000,431,,,,,,301,
260,2.1727461099999994,500.0,130000,431,,,,,,301,
264,1.8879328000000002,500.0,140000,465,6834,-19.00244140625,-27.354812622070312,0.026522871106863022,0.007470050826668739,300,0.00075
268,1.8879328000000002,500.0,140000,465,,,,,,300,
272,1.8879328000000002,500.0,140000,465,,,,,,300,
276,1.8879328000000002,500.0,140000,465,,,,,,300,
280,1.8879328000000002,500.0,140000,465,,,,,,300,
284,1.29745724,500.0,150000,498,7334,-18.73301124572754,-37.390647888183594,0.02651975490152836,0.0057630049996078014,300,0.00075
288,1.29745724,500.0,150000,498,,,,,,300,
292,1.29745724,500.0,150000,498,,,,,,300,
296,1.29745724,500.0,150000,498,,,,,,300,
300,1.29745724,500.0,150000,498,,,,,,300,
304,1.24159755,500.0,160000,532,7834,-18.12921905517578,-13.993912696838379,0.0574289932847023,0.004582072142511606,300,0.00075
308,1.24159755,500.0,160000,532,,,,,,300,
312,1.24159755,500.0,160000,532,,,,,,300,
316,1.24159755,500.0,160000,532,,,,,,300,
320,1.24159755,500.0,160000,532,,,,,,300,
324,1.7101966199999998,500.0,170000,566,8334,-17.948328018188477,-4.335074424743652,2.549330234527588,0.0037321876734495163,299,0.00075
328,1.7101966199999998,500.0,170000,566,,,,,,299,
332,1.7101966199999998,500.0,170000,566,,,,,,299,
336,1.7101966199999998,500.0,170000,566,,,,,,299,
340,1.7101966199999998,500.0,170000,566,,,,,,299,
344,1.9719150399999996,500.0,180000,600,8834,-17.732547760009766,-16.14580535888672,1.777138352394104,0.0032439169008284807,299,0.00075
348,1.9719150399999996,500.0,180000,600,,,,,,299,
352,1.9719150399999996,500.0,180000,600,,,,,,299,
356,1.9719150399999996,500.0,180000,600,,,,,,299,
360,1.9719150399999996,500.0,180000,600,,,,,,299,
