time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/ent_coef,time/fps,train/learning_rate
1572,102.71222634,500.0,790000,2648,,,,,,298,
1576,102.71222634,500.0,790000,2648,,,,,,298,
1580,102.71222634,500.0,790000,2648,,,,,,298,
1584,107.34166136999998,500.0,800000,2682,39834,-8.093013763427734,-1.3179986476898193,0.10853436589241028,0.003607147838920355,298,0.00075
1588,107.34166136999998,500.0,800000,2682,,,,,,298,
1592,107.34166136999998,500.0,800000,2682,,,,,,298,
1596,107.34166136999998,500.0,800000,2682,,,,,,298,
1600,107.34166136999998,500.0,800000,2682,,,,,,298,
1604,112.72593857999999,500.0,810000,2715,40334,-8.881467819213867,3.2223658561706543,0.17990273237228394,0.003896396141499281,298,0.00075
1608,112.72593857999999,500.0,810000,2715,,,,,,298,
1612,112.72593857999999,500.0,810000,2715,,,,,,298,
1616,112.72593857999999,500.0,810000,2715,,,,,,298,
1620,112.72593857999999,500.0,810000,2715,,,,,,298,
1624,115.17771155999999,500.0,820000,2749,40834,-10.250415802001953,3.4393677711486816,0.0816778764128685,0.0035808333195745945,298,0.00075
1628,115.17771155999999,500.0,820000,2749,,,,,,298,
1632,115.17771155999999,500.0,820000,2749,,,,,,298,
1636,115.17771155999999,500.0,820000,2749,,,,,,298,
1640,115.17771155999999,500.0,820000,2749,,,,,,298,
1644,113.76150541999999,500.0,830000,2782,41334,-9.282732009887695,7.257050514221191,0.08847597241401672,0.004063808359205723,298,0.00075
1648,113.76150541999999,500.0,830000,2782,,,,,,298,
1652,113.76150541999999,500.0,830000,2782,,,,,,298,
1656,113.76150541999999,500.0,830000,2782,,,,,,298,
1660,113.76150541999999,500.0,830000,2782,,,,,,298,
1664,122.43167880000001,500.0,840000,2815,41834,-9.515548706054688,5.394164085388184,0.4676368236541748,0.003912033978849649,298,0.00075
1668,122.43167880000001,500.0,840000,2815,,,,,,298,
1672,122.43167880000001,500.0,840000,2815,,,,,,298,
1676,122.43167880000001,500.0,840000,2815,,,,,,298,
1680,122.43167880000001,500.0,840000,2815,,,,,,298,
1684,118.13372640000001,500.0,850000,2848,42334,-9.474430084228516,-3.0392398834228516,0.11084502935409546,0.003995165694504976,298,0.00075
1688,118.13372640000001,500.0,850000,2848,,,,,,298,
1692,118.13372640000001,500.0,850000,2848,,,,,,298,
1696,118.13372640000001,500.0,850000,2848,,,,,,298,
1700,118.13372640000001,500.0,850000,2848,,,,,,298,
1704,121.30764863999998,500.0,860000,2881,42834,-9.72203254699707,2.213667631149292,0.0829324871301651,0.004263290204107761,298,0.00075
1708,121.30764863999998,500.0,860000,2881,,,,,,298,
1712,121.30764863999998,500.0,860000,2881,,,,,,298,
1716,121.30764863999998,500.0,860000,2882,,,,,,298,
1720,121.30764863999998,500.0,860000,2882,,,,,,298,
1724,134.48798704000004,500.0,870000,2915,43334,-10.13149642944336,-6.873126983642578,0.19981051981449127,0.004330780357122421,298,0.00075
1728,134.48798704000004,500.0,870000,2915,,,,,,298,
1732,134.48798704000004,500.0,870000,2915,,,,,,298,
1736,134.48798704000004,500.0,870000,2915,,,,,,298,
1740,134.48798704000004,500.0,870000,2915,,,,,,298,
1744,141.60337056,500.0,880000,2948,43834,-11.143072128295898,1.1890382766723633,0.16927847266197205,0.004518879111856222,298,0.00075
1748,141.60337056,500.0,880000,2948,,,,,,298,
1752,141.60337056,500.0,880000,2948,,,,,,298,
1756,141.60337056,500.0,880000,2948,,,,,,298,
1760,141.60337056,500.0,880000,2948,,,,,,298,
1764,161.15248526,500.0,890000,2981,44334,-9.942305564880371,-3.611114978790283,0.11511264741420746,0.004372710827738047,298,0.00075
1768,161.15248526,500.0,890000,2981,,,,,,298,
1772,161.15248526,500.0,890000,2981,,,,,,298,
1776,161.15248526,500.0,890000,2981,,,,,,298,
1780,161.15248526,500.0,890000,2981,,,,,,298,
1784,205.20594514,500.0,900000,3014,44834,-11.368815422058105,-0.8196729421615601,0.19371873140335083,0.005189888644963503,298,0.00075
1788,205.20594514,500.0,900000,3014,,,,,,298,
1792,205.20594514,500.0,900000,3014,,,,,,298,
1796,205.20594514,500.0,900000,3014,,,,,,298,
1800,205.20594514,500.0,900000,3014,,,,,,298,
1804,228.20819020000002,500.0,910000,3047,45334,-11.888277053833008,-1.0821030139923096,23.254783630371094,0.0051701972261071205,298,0.00075
1808,228.20819020000002,500.0,910000,3047,,,,,,298,
1812,228.20819020000002,500.0,910000,3047,,,,,,298,
1816,228.20819020000002,500.0,910000,3047,,,,,,298,
1820,228.20819020000002,500.0,910000,3047,,,,,,298,
1824,223.51464008,500.0,920000,3080,45834,-11.875213623046875,-1.5798966884613037,0.3126191198825836,0.0051583824679255486,298,0.00075
1828,223.51464008,500.0,920000,3080,,,,,,298,
1832,223.51464008,500.0,920000,3080,,,,,,298,
1836,223.51464008,500.0,920000,3080,,,,,,298,
1840,223.51464008,500.0,920000,3080,,,,,,298,
1844,251.59182466,500.0,930000,3114,46334,-10.31119155883789,-4.091691017150879,1.4435796737670898,0.0050449734553694725,298,0.00075
1848,251.59182466,500.0,930000,3114,,,,,,298,
1852,251.59182466,500.0,930000,3114,,,,,,298,
1856,251.59182466,500.0,930000,3114,,,,,,298,
1860,251.59182466,500.0,930000,3114,,,,,,298,
1864,258.7175405,500.0,940000,3148,46834,-12.380123138427734,-4.515606880187988,0.24732939898967743,0.0059291585348546505,298,0.00075
1868,258.7175405,500.0,940000,3148,,,,,,298,
1872,258.7175405,500.0,940000,3148,,,,,,298,
1876,258.7175405,500.0,940000,3148,,,,,,298,
1880,258.7175405,500.0,940000,3148,,,,,,298,
1884,253.56432301999993,500.0,950000,3182,47334,-13.141986846923828,-1.637370228767395,0.21688497066497803,0.005501925479620695,298,0.00075
1888,253.56432301999993,500.0,950000,3182,,,,,,298,
1892,253.56432301999993,500.0,950000,3182,,,,,,298,
1896,253.56432301999993,500.0,950000,3182,,,,,,298,
1900,253.56432301999993,500.0,950000,3182,,,,,,298,
1904,254.85221037,500.0,960000,3216,47834,-11.926546096801758,-0.8464056253433228,0.1456921249628067,0.006094439420849085,298,0.00075
1908,254.85221037,500.0,960000,3216,,,,,,298,
1912,254.85221037,500.0,960000,3216,,,,,,298,
1916,254.85221037,500.0,960000,3216,,,,,,298,
1920,254.85221037,500.0,960000,3216,,,,,,298,
1924,241.27195228,500.0,970000,3251,48334,-13.364978790283203,3.4311656951904297,0.17583897709846497,0.005928627215325832,298,0.00075
1928,241.27195228,500.0,970000,3251,,,,,,298,
1932,241.27195228,500.0,970000,3251,,,,,,298,
1936,241.27195228,500.0,970000,3251,,,,,,298,
1940,241.27195228,500.0,970000,3251,,,,,,298,
1944,237.67518623000004,500.0,980000,3286,48834,-13.699583053588867,-4.129830360412598,2.138153553009033,0.005945063661783934,298,0.00075
1948,237.67518623000004,500.0,980000,3286,,,,,,298,
1952,237.67518623000004,500.0,980000,3286,,,,,,298,
1956,237.67518623000004,500.0,980000,3286,,,,,,298,
1960,237.67518623000004,500.0,980000,3286,,,,,,298,
1964,260.03022375,500.0,990000,3319,49334,-14.167314529418945,-1.9973838329315186,0.2259373515844345,0.0066492618061602116,298,0.00075
1968,260.03022375,500.0,990000,3319,,,,,,298,
1972,260.03022375,500.0,990000,3319,,,,,,298,
1976,260.03022375,500.0,990000,3319,,,,,,298,
1980,260.03022375,500.0,990000,3319,,,,,,298,
1984,252.82581605,500.0,1000000,3354,49834,-14.203500747680664,4.432273864746094,0.314680814743042,0.006055318750441074,298,0.00075
1988,252.82581605,500.0,1000000,3354,,,,,,298,
1992,252.82581605,500.0,1000000,3354,,,,,,298,
1996,252.82581605,500.0,1000000,3354,,,,,,298,
2000,252.82581605,500.0,1000000,3354,,,,,,298,
