train/critic_loss,train/ent_coef_loss,time/episodes,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,time/fps
,,152,80000,,,,263,500.0,,1.06979403,303
,,156,80000,,,,263,500.0,,1.06979403,303
,,160,80000,,,,263,500.0,,1.06979403,303
0.03376143425703049,-36.469451904296875,164,90000,0.00075,4334,0.03932509943842888,296,500.0,-22.083240509033203,0.98823438,303
,,168,90000,,,,296,500.0,,0.98823438,303
,,172,90000,,,,296,500.0,,0.98823438,303
,,176,90000,,,,296,500.0,,0.98823438,303
,,180,90000,,,,296,500.0,,0.98823438,303
0.07077640295028687,-34.77824401855469,184,100000,0.00075,4834,0.027414551004767418,330,500.0,-21.497249603271484,0.94545063,302
,,188,100000,,,,330,500.0,,0.94545063,302
,,192,100000,,,,330,500.0,,0.94545063,302
,,196,100000,,,,331,500.0,,0.94545063,302
,,200,100000,,,,331,500.0,,0.94545063,302
0.07420837879180908,-35.91250991821289,204,110000,0.00075,5334,0.019425783306360245,364,500.0,-21.113544464111328,1.16675547,301
,,208,110000,,,,364,500.0,,1.16675547,301
,,212,110000,,,,364,500.0,,1.16675547,301
,,216,110000,,,,364,500.0,,1.16675547,301
,,220,110000,,,,364,500.0,,1.16675547,301
2.7753705978393555,-39.34385681152344,224,120000,0.00075,5834,0.013927732594311237,397,500.0,-20.753742218017578,1.1169873,301
,,228,120000,,,,397,500.0,,1.1169873,301
,,232,120000,,,,397,500.0,,1.1169873,301
,,236,120000,,,,397,500.0,,1.1169873,301
,,240,120000,,,,397,500.0,,1.1169873,301
0.04921984672546387,-33.46152114868164,244,130000,0.00075,6334,0.010310661047697067,432,500.0,-20.426631927490234,1.07303661,300
,,248,130000,,,,432,500.0,,1.07303661,300
,,252,130000,,,,432,500.0,,1.07303661,300
,,256,130000,,,,432,500.0,,1.07303661,300
,,260,130000,,,,432,500.0,,1.07303661,300
0.01788954809308052,-31.38949966430664,264,140000,0.00075,6834,0.007740248925983906,466,500.0,-19.436065673828125,1.17152309,300
,,268,140000,,,,466,500.0,,1.17152309,300
,,272,140000,,,,466,500.0,,1.17152309,300
,,276,140000,,,,466,500.0,,1.17152309,300
,,280,140000,,,,466,500.0,,1.17152309,300
0.045337602496147156,-13.494359970092773,284,150000,0.00075,7334,0.006072124000638723,500,500.0,-18.674163818359375,1.1293668,299
,,288,150000,,,,500,500.0,,1.1293668,299
,,292,150000,,,,500,500.0,,1.1293668,299
,,296,150000,,,,500,500.0,,1.1293668,299
,,300,150000,,,,500,500.0,,1.1293668,299
0.040998779237270355,-15.67873764038086,304,160000,0.00075,7834,0.0049431174993515015,532,500.0,-18.517776489257812,0.8675007199999999,300
,,308,160000,,,,532,500.0,,0.8675007199999999,300
,,312,160000,,,,532,500.0,,0.8675007199999999,300
,,316,160000,,,,532,500.0,,0.8675007199999999,300
,,320,160000,,,,532,500.0,,0.8675007199999999,300
0.024954400956630707,-6.814641952514648,324,170000,0.00075,8334,0.004177581984549761,566,500.0,-18.060386657714844,0.88693379,300
,,328,170000,,,,566,500.0,,0.88693379,300
,,332,170000,,,,566,500.0,,0.88693379,300
,,336,170000,,,,566,500.0,,0.88693379,300
,,340,170000,,,,566,500.0,,0.88693379,300
0.04568412899971008,-12.18610668182373,344,180000,0.00075,8834,0.003584231249988079,601,500.0,-17.547653198242188,1.01747722,299
,,348,180000,,,,601,500.0,,1.01747722,299
,,352,180000,,,,601,500.0,,1.01747722,299
,,356,180000,,,,601,500.0,,1.01747722,299
,,360,180000,,,,601,500.0,,1.01747722,299
0.0837155133485794,-12.004697799682617,364,190000,0.00075,9334,0.0031175061594694853,636,500.0,-17.087108612060547,0.90338167,298
,,368,190000,,,,636,500.0,,0.90338167,298
