rollout/ep_len_mean,train/actor_loss,train/learning_rate,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/ent_coef_loss,time/time_elapsed,time/fps,time/total_timesteps
500.0,-21.117809295654297,0.00075,204,0.01927417889237404,2.4475942799999997,5334,0.02432221919298172,-40.899574279785156,366,300,110000
500.0,,,208,,2.4475942799999997,,,,366,300,110000
500.0,,,212,,2.4475942799999997,,,,366,300,110000
500.0,,,216,,2.4475942799999997,,,,366,300,110000
500.0,,,220,,2.4475942799999997,,,,366,300,110000
500.0,-20.73599624633789,0.00075,224,0.013683227822184563,2.4529784699999997,5834,0.07766447961330414,-39.720367431640625,399,300,120000
500.0,,,228,,2.4529784699999997,,,,399,300,120000
500.0,,,232,,2.4529784699999997,,,,399,300,120000
500.0,,,236,,2.4529784699999997,,,,399,300,120000
500.0,,,240,,2.4529784699999997,,,,399,300,120000
500.0,-19.3819637298584,0.00075,244,0.010026718489825726,2.30035028,6334,4.4566450119018555,-25.05276107788086,433,300,130000
500.0,,,248,,2.30035028,,,,433,300,130000
500.0,,,252,,2.30035028,,,,433,300,130000
500.0,,,256,,2.30035028,,,,433,300,130000
500.0,,,260,,2.30035028,,,,433,300,130000
500.0,-19.212926864624023,0.00075,264,0.007576844189316034,2.2279701499999995,6834,0.03849747031927109,-31.760700225830078,466,300,140000
500.0,,,268,,2.2279701499999995,,,,466,300,140000
500.0,,,272,,2.2279701499999995,,,,466,300,140000
500.0,,,276,,2.2279701499999995,,,,466,300,140000
500.0,,,280,,2.2279701499999995,,,,466,300,140000
500.0,-18.70502281188965,0.00075,284,0.00587174016982317,1.50472263,7334,0.06581380218267441,-28.243759155273438,500,299,150000
500.0,,,288,,1.50472263,,,,500,299,150000
500.0,,,292,,1.50472263,,,,500,299,150000
500.0,,,296,,1.50472263,,,,500,299,150000
500.0,,,300,,1.50472263,,,,500,299,150000
500.0,-18.357887268066406,0.00075,304,0.0047724274918437,1.6760855800000005,7834,0.0509490892291069,-18.446475982666016,535,298,160000
500.0,,,308,,1.6760855800000005,,,,535,298,160000
500.0,,,312,,1.6760855800000005,,,,535,298,160000
500.0,,,316,,1.6760855800000005,,,,535,298,160000
500.0,,,320,,1.6760855800000005,,,,535,298,160000
500.0,-18.077421188354492,0.00075,324,0.003985917661339045,1.83727684,8334,0.016430187970399857,-18.018489837646484,569,298,170000
500.0,,,328,,1.83727684,,,,569,298,170000
500.0,,,332,,1.83727684,,,,569,298,170000
500.0,,,336,,1.83727684,,,,569,298,170000
500.0,,,340,,1.83727684,,,,569,298,170000
500.0,-17.51047134399414,0.00075,344,0.003415977116674185,2.0548615000000003,8834,0.08997640758752823,-16.144161224365234,603,298,180000
500.0,,,348,,2.0548615000000003,,,,603,298,180000
500.0,,,352,,2.0548615000000003,,,,603,298,180000
500.0,,,356,,2.0548615000000003,,,,603,298,180000
