train/learning_rate,train/actor_loss,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,time/episodes,train/ent_coef,rollout/ep_len_mean,train/critic_loss
0.00075,-15.959355354309082,0.76,220,11264,161000,-2.5759990215301514,730,310,0.003477643709629774,500.0,0.032422129064798355
,,0.76,220,,161000,,730,320,,500.0,
0.00075,-15.599632263183594,0.76,220,11764,168000,-3.9513907432556152,761,330,0.00332654663361609,500.0,0.018566325306892395
0.00075,-15.212727546691895,0.76,220,12264,175000,-8.494268417358398,793,340,0.0028913337737321854,500.0,0.02679472416639328
,,0.76,220,,175000,,793,350,,500.0,
0.00075,-14.722799301147461,0.76,220,12764,182000,-15.758296966552734,826,360,0.0029378056060522795,500.0,0.07130727171897888
0.00075,-14.455541610717773,0.0,219,13264,189000,2.8323285579681396,859,370,0.002906694309785962,500.0,0.026781687512993813
0.00075,-13.78339672088623,0.0,219,13764,196000,10.250564575195312,892,380,0.002626669593155384,500.0,0.46767526865005493
,,0.0,219,,196000,,892,390,,500.0,
0.00075,-13.374155044555664,0.0,219,14264,203000,0.20919549465179443,925,400,0.002672386821359396,500.0,0.016829177737236023
0.00075,-13.019394874572754,0.0,219,14764,210000,14.763343811035156,958,410,0.002479298273101449,500.0,0.014849618077278137
,,0.0,219,,210000,,958,420,,500.0,
0.00075,-13.35201644897461,0.0,218,15264,217000,2.625690460205078,991,430,0.0023602957371622324,500.0,0.8158550262451172
0.00075,-12.868240356445312,0.0,218,15764,224000,-1.7597341537475586,1024,440,0.002368737244978547,500.0,0.034314922988414764
0.00075,-12.699383735656738,0.0,218,16264,231000,-6.49275541305542,1057,450,0.0022651967592537403,500.0,0.03383919596672058
,,0.0,218,,231000,,1057,460,,500.0,
0.00075,-12.160272598266602,3.67,218,16764,238000,5.071105003356934,1090,470,0.002244755392894149,500.0,1.1668890714645386
0.00075,-11.964237213134766,3.67,217,17264,245000,-0.7257354259490967,1124,480,0.002345594810321927,500.0,1.2832214832305908
,,3.67,217,,245000,,1124,490,,500.0,
0.00075,-11.798803329467773,3.67,217,17764,252000,3.126337766647339,1157,500,0.002126572886481881,500.0,0.011430351063609123
0.00075,-11.493566513061523,3.67,217,18264,259000,-4.692342281341553,1191,510,0.0020695803686976433,500.0,1.0103577375411987
0.00075,-11.041925430297852,3.67,217,18764,266000,-3.019211769104004,1224,520,0.002070947550237179,500.0,0.035268910229206085
,,3.67,217,,266000,,1224,530,,500.0,
0.00075,-10.877716064453125,3.67,217,19264,273000,2.204047679901123,1257,540,0.0020192009396851063,500.0,0.011548567563295364
0.00075,-10.71628475189209,3.67,216,19764,280000,-1.5752547979354858,1290,550,0.001854336354881525,500.0,0.9886939525604248
,,3.67,216,,280000,,1290,560,,500.0,
0.00075,-10.597174644470215,9.57,216,20264,287000,4.512049674987793,1324,570,0.002030925592407584,500.0,0.011676432564854622
0.00075,-10.462890625,5.9,216,20764,294000,-8.343192100524902,1357,580,0.0022090726997703314,500.0,0.8592852354049683
0.00075,-10.209732055664062,5.9,216,21264,301000,-6.175280570983887,1390,590,0.0018373011844232678,500.0,0.010185591876506805
,,5.9,216,,301000,,1390,600,,500.0,
0.00075,-9.797876358032227,5.9,216,21764,308000,3.0748324394226074,1423,610,0.001727689290419221,500.0,0.8977580666542053
0.00075,-9.54945182800293,5.9,216,22264,315000,4.433326721191406,1456,620,0.001744425855576992,500.0,0.01051585003733635
,,5.9,216,,315000,,1456,630,,500.0,
0.00075,-9.491451263427734,5.9,216,22764,322000,6.091097354888916,1490,640,0.0017278894083574414,500.0,0.1804453283548355
0.00075,-9.449280738830566,5.9,215,23264,329000,-11.35303783416748,1523,650,0.001587697654031217,500.0,0.011213809251785278
0.00075,-9.216851234436035,0.0,215,23764,336000,-4.122058391571045,1556,660,0.0016008393140509725,500.0,0.010791483335196972
,,0.0,215,,336000,,1556,670,,500.0,
0.00075,-9.034724235534668,0.0,215,24264,343000,-6.75275993347168,1590,680,0.0016329750651493669,500.0,0.013456149026751518
0.00075,-8.713922500610352,0.0,215,24764,350000,-1.975677728652954,1623,690,0.0014777913456782699,500.0,0.012941849417984486
,,0.0,215,,350000,,1623,700,,500.0,
0.00075,-8.61785888671875,0.0,215,25264,357000,-7.088354587554932,1656,710,0.0014003334799781442,500.0,0.00983359757810831
0.00075,-8.507780075073242,0.05,215,25764,364000,-12.328104019165039,1690,720,0.0014732215786352754,500.0,0.02314780093729496
0.00075,-8.340147018432617,0.05,215,26264,371000,-13.309249877929688,1724,730,0.001322047202847898,500.0,0.008054746314883232
,,0.05,215,,371000,,1724,740,,500.0,
0.00075,-7.9316725730896,0.05,215,26764,378000,2.208921194076538,1757,750,0.0012441141298040748,500.0,0.5814257860183716
0.00075,-8.00811767578125,0.05,214,27264,385000,-8.490463256835938,1790,760,0.0013961137738078833,500.0,0.004100599326193333
,,0.05,214,,385000,,1790,770,,500.0,
