time/episodes,time/time_elapsed,train/learning_rate,train/n_updates,rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss
468,975,,,500.0,,240,,,11.44,235000,
472,996,0.00075,23669,500.0,-11.689096450805664,240,0.004520277958363295,0.08034846186637878,10.68,240000,-9.63759994506836
476,996,,,500.0,,240,,,10.68,240000,
480,996,,,500.0,,240,,,10.68,240000,
484,1017,0.00075,24169,500.0,-12.758572578430176,240,0.004772618878632784,0.6965869665145874,7.18,245000,-2.2254393100738525
488,1017,,,500.0,,240,,,7.18,245000,
492,1039,0.00075,24669,500.0,-12.370481491088867,240,0.004760361276566982,1.6851131916046143,29.71,250000,6.078408241271973
496,1039,,,500.0,,240,,,29.71,250000,
500,1039,,,500.0,,240,,,29.71,250000,
504,1061,0.00075,25169,500.0,-13.030929565429688,240,0.00463365763425827,13.418863296508789,30.5,255000,-7.528313636779785
508,1061,,,500.0,,240,,,30.5,255000,
512,1082,0.00075,25669,500.0,-13.313594818115234,240,0.004882375244051218,0.17902366816997528,30.5,260000,9.920707702636719
516,1082,,,500.0,,240,,,30.5,260000,
520,1082,,,500.0,,240,,,30.5,260000,
524,1103,0.00075,26169,500.0,-11.637134552001953,240,0.005155807826668024,0.28473415970802307,34.75,265000,6.792075157165527
528,1103,,,500.0,,240,,,34.75,265000,
532,1124,0.00075,26669,500.0,-13.050458908081055,240,0.00499417120590806,0.15027958154678345,41.67,270000,3.1479344367980957
536,1124,,,500.0,,240,,,41.67,270000,
540,1124,,,500.0,,240,,,41.67,270000,
544,1145,0.00075,27169,500.0,-12.329357147216797,240,0.005385260563343763,1.0229464769363403,40.81,275000,8.022523880004883
548,1145,,,500.0,,240,,,40.81,275000,
552,1166,0.00075,27669,500.0,-13.2566499710083,240,0.005323043093085289,0.12088273465633392,43.44,280000,-5.746898651123047
556,1166,,,500.0,,240,,,43.44,280000,
560,1166,,,500.0,,240,,,43.44,280000,
564,1188,0.00075,28169,500.0,-13.365842819213867,239,0.005410118494182825,0.08854414522647858,81.07,285000,0.24522513151168823
568,1188,,,500.0,,239,,,81.07,285000,
572,1208,0.00075,28669,500.0,-13.17898178100586,239,0.005416586995124817,0.132250115275383,85.61,290000,1.8913278579711914
