rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/fps,train/ent_coef,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss
5.71084735,395,,404,,316,160000,500.0,,,,
5.71084735,395,,404,,320,160000,500.0,,,,
6.695037209999999,419,0.00075,405,0.004239147063344717,324,170000,500.0,-18.239604949951172,8334,0.05318354070186615,-14.786354064941406
6.695037209999999,419,,405,,328,170000,500.0,,,,
6.695037209999999,419,,405,,332,170000,500.0,,,,
6.695037209999999,419,,405,,336,170000,500.0,,,,
6.695037209999999,419,,405,,340,170000,500.0,,,,
4.19277169,446,0.00075,403,0.0037267585285007954,344,180000,500.0,-17.43728256225586,8834,0.07608240842819214,-9.737616539001465
4.19277169,446,,403,,348,180000,500.0,,,,
4.19277169,446,,403,,352,180000,500.0,,,,
4.19277169,446,,403,,356,180000,500.0,,,,
4.19277169,446,,403,,360,180000,500.0,,,,
