train/ent_coef,train/actor_loss,time/total_timesteps,time/episodes,train/n_updates,time/fps,train/learning_rate,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed
0.0033415877260267735,-14.492886543273926,189000,370,13264,222,0.00075,500.0,0.023688290268182755,3.43461437,1.9397478103637695,849
0.002942966530099511,-13.983497619628906,196000,380,13764,222,0.00075,500.0,0.05355926603078842,1.51245034,-4.702758312225342,879
,,196000,390,,222,,500.0,,1.51245034,,879
0.00260476884432137,-14.21154499053955,203000,400,14264,222,0.00075,500.0,0.0349225252866745,0.9774823600000001,0.26058250665664673,910
0.0025823672767728567,-14.042228698730469,210000,410,14764,223,0.00075,500.0,0.026445157825946808,0.94294895,-10.277388572692871,941
,,210000,420,,223,,500.0,,0.94294895,,941
0.002679831348359585,-13.600564956665039,217000,430,15264,223,0.00075,500.0,0.9661091566085815,1.13898908,-18.691307067871094,972
0.002516594948247075,-13.230154037475586,224000,440,15764,223,0.00075,500.0,0.02600427344441414,1.3935132000000001,-3.12857723236084,1003
0.0026647469494491816,-12.233861923217773,231000,450,16264,223,0.00075,500.0,0.03687998279929161,4.17065374,0.9938356876373291,1034
,,231000,460,,223,,500.0,,4.17065374,,1034
0.002475491026416421,-12.580488204956055,238000,470,16764,223,0.00075,500.0,0.013519620522856712,4.08085654,-1.8556429147720337,1065
0.0027936992701143026,-12.341910362243652,245000,480,17264,223,0.00075,500.0,1.0286390781402588,4.13125741,3.334900379180908,1097
,,245000,490,,223,,500.0,,4.13125741,,1097
0.0029339261818677187,-12.134086608886719,252000,500,17764,223,0.00075,500.0,0.027735941112041473,4.064470859999999,-8.705778121948242,1127
0.0029683688189834356,-11.886502265930176,259000,510,18264,223,0.00075,500.0,1.1239445209503174,4.398276899999998,-1.1900397539138794,1158
0.0027518717106431723,-11.620367050170898,266000,520,18764,223,0.00075,500.0,0.0331147164106369,4.38441779,-3.474426746368408,1190
,,266000,530,,223,,500.0,,4.38441779,,1190
0.0027308561839163303,-11.915966987609863,273000,540,19264,223,0.00075,500.0,0.021501772105693817,4.474252939999999,7.788103103637695,1221
0.0025680114049464464,-11.302417755126953,280000,550,19764,223,0.00075,500.0,0.024413827806711197,2.4182455800000002,4.826021671295166,1252
