train/learning_rate,time/fps,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,train/actor_loss,time/time_elapsed,train/critic_loss,time/total_timesteps,time/episodes
0.00075,213,500.0,9764,1.3369726499999999,-4.133047580718994,0.003412613645195961,-16.818286895751953,656,1.5048422813415527,140000,270
,213,500.0,,1.3369726499999999,,,,656,,140000,280
0.00075,213,500.0,10264,1.31279079,7.476800918579102,0.0033089767675846815,-16.60537338256836,690,0.020591726526618004,147000,290
0.00075,212,500.0,10764,1.5068094799999998,-17.82115936279297,0.003055717097595334,-16.668800354003906,724,2.1500372886657715,154000,300
0.00075,212,500.0,11264,1.4892039499999996,-6.735495090484619,0.0026632784865796566,-16.031009674072266,757,0.027870411053299904,161000,310
,212,500.0,,1.4892039499999996,,,,757,,161000,320
0.00075,212,500.0,11764,1.5204200299999997,9.596691131591797,0.0023424013052135706,-15.983365058898926,791,0.024487167596817017,168000,330
0.00075,212,500.0,12264,2.21449094,4.923165321350098,0.0024946543853729963,-15.256208419799805,825,0.017535697668790817,175000,340
,212,500.0,,2.21449094,,,,825,,175000,350
0.00075,212,500.0,12764,2.42598437,6.896569728851318,0.0026602717116475105,-14.997140884399414,858,0.05916742980480194,182000,360
0.00075,211,500.0,13264,2.2657179899999997,16.394580841064453,0.0026418333873152733,-14.518505096435547,891,0.029528751969337463,189000,370
0.00075,211,500.0,13764,2.1831608399999998,-9.323274612426758,0.0026440261863172054,-14.554849624633789,925,1.6328010559082031,196000,380
,211,500.0,,2.1831608399999998,,,,925,,196000,390
0.00075,211,500.0,14264,1.9814471900000001,-1.8113031387329102,0.002310039009898901,-13.844558715820312,958,0.010702613741159439,203000,400
0.00075,211,500.0,14764,2.18122965,12.450240135192871,0.002257396699860692,-13.62330150604248,992,0.01977771706879139,210000,410
,211,500.0,,2.18122965,,,,992,,210000,420
0.00075,211,500.0,15264,2.10447135,-8.125141143798828,0.0019785312470048666,-13.262266159057617,1026,1.3782634735107422,217000,430
0.00075,211,500.0,15764,1.5507027999999994,23.408443450927734,0.0020624182652682066,-13.131160736083984,1058,0.04819520190358162,224000,440
0.00075,211,500.0,16264,1.17225205,-0.4481714963912964,0.001911584404297173,-12.774276733398438,1092,0.026998741552233696,231000,450
,211,500.0,,1.17225205,,,,1092,,231000,460
0.00075,211,500.0,16764,1.06915189,-7.937102794647217,0.001999055966734886,-12.230460166931152,1124,0.889522910118103,238000,470
0.00075,211,500.0,17264,1.14062536,-3.6646854877471924,0.0017662110039964318,-12.120100021362305,1158,1.4624741077423096,245000,480
,211,500.0,,1.14062536,,,,1158,,245000,490
0.00075,211,500.0,17764,1.26483285,4.833959102630615,0.001763108535669744,-11.753704071044922,1191,0.017946723848581314,252000,500
0.00075,211,500.0,18264,0.9535660199999999,-3.2411465644836426,0.0018410678021609783,-11.215972900390625,1225,0.9223055839538574,259000,510
0.00075,211,500.0,18764,1.0223088299999998,2.4681344032287598,0.0018349906895309687,-11.200273513793945,1258,0.041453853249549866,266000,520
,211,500.0,,1.0223088299999998,,,,1258,,266000,530
0.00075,211,500.0,19264,1.2542860999999998,-5.63439416885376,0.0018262284575030208,-11.146440505981445,1292,0.025552337989211082,273000,540
0.00075,211,500.0,19764,1.3678996199999998,-1.2601745128631592,0.0016224798746407032,-10.822517395019531,1326,0.6701552867889404,280000,550
,211,500.0,,1.3678996199999998,,,,1326,,280000,560
