time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/ent_coef_loss,time/fps,train/n_updates,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef,train/actor_loss,train/learning_rate
651,270,0.8989061099999998,1.7925870418548584,214,9764,140000,500.0,0.015570482239127159,0.003448295872658491,-16.999557495117188,0.00075
651,280,0.8989061099999998,,214,,140000,500.0,,,,
684,290,0.80433295,-4.993991851806641,214,10264,147000,500.0,2.2044005393981934,0.0035884997341781855,-16.641887664794922,0.00075
717,300,0.7673882900000001,-4.266127109527588,214,10764,154000,500.0,0.018693745136260986,0.0033978018909692764,-16.4334774017334,0.00075
751,310,0.76717489,-3.742760181427002,214,11264,161000,500.0,1.0922980308532715,0.0034438935108482838,-16.11958885192871,0.00075
751,320,0.76717489,,214,,161000,500.0,,,,
784,330,0.7647011599999999,-12.428644180297852,214,11764,168000,500.0,0.033372022211551666,0.0031788754276931286,-16.02959632873535,0.00075
817,340,0.6747885600000001,0.9400683045387268,214,12264,175000,500.0,0.06088104844093323,0.003144350601360202,-15.563819885253906,0.00075
817,350,0.6747885600000001,,214,,175000,500.0,,,,
849,360,0.9325594599999998,5.372110366821289,214,12764,182000,500.0,0.02284141257405281,0.0031550079584121704,-14.948671340942383,0.00075
882,370,0.9319651299999998,16.249292373657227,214,13264,189000,500.0,0.020313061773777008,0.0027377884835004807,-14.872808456420898,0.00075
914,380,1.00843982,-11.020092010498047,214,13764,196000,500.0,0.014704834669828415,0.002751970198005438,-14.46190357208252,0.00075
914,390,1.00843982,,214,,196000,500.0,,,,
944,400,1.02142352,-0.9018995761871338,214,14264,203000,500.0,0.016175508499145508,0.0028412516694515944,-14.366806030273438,0.00075
977,410,1.02707055,0.42629551887512207,214,14764,210000,500.0,0.013134579174220562,0.002729417523369193,-13.891465187072754,0.00075
977,420,1.02707055,,214,,210000,500.0,,,,
1008,430,1.02712823,-7.60349178314209,215,15264,217000,500.0,1.3597549200057983,0.0024736502673476934,-13.40080738067627,0.00075
1040,440,1.02665243,-3.7031450271606445,215,15764,224000,500.0,0.009913446381688118,0.002418180927634239,-13.215904235839844,0.00075
1072,450,0.98447322,2.5806403160095215,215,16264,231000,500.0,1.0812302827835083,0.002602202817797661,-12.68440055847168,0.00075
1072,460,0.98447322,,215,,231000,500.0,,,,
