time/episodes,rollout/ep_len_mean,train/critic_loss,train/actor_loss,time/time_elapsed,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/fps
1740,500.0,,,2884,,,,,870000,152.72,301
1744,500.0,9.981367111206055,-18.688270568847656,2918,0.008056733757257462,3.806548595428467,0.00075,43834,880000,118.44,301
1748,500.0,,,2918,,,,,880000,118.44,301
1752,500.0,,,2918,,,,,880000,118.44,301
1756,500.0,,,2918,,,,,880000,118.44,301
1760,500.0,,,2918,,,,,880000,118.44,301
1764,500.0,2.5500874519348145,-19.046276092529297,2950,0.007948973216116428,3.721662998199463,0.00075,44334,890000,147.02,301
1768,500.0,,,2950,,,,,890000,147.02,301
1772,500.0,,,2950,,,,,890000,147.02,301
1776,500.0,,,2950,,,,,890000,147.02,301
1780,500.0,,,2950,,,,,890000,147.02,301
1784,500.0,0.7133377194404602,-17.97797966003418,2983,0.008531778119504452,-0.09712052345275879,0.00075,44834,900000,151.86,301
1788,500.0,,,2983,,,,,900000,151.86,301
1792,500.0,,,2983,,,,,900000,151.86,301
1796,500.0,,,2983,,,,,900000,151.86,301
1800,500.0,,,2983,,,,,900000,151.86,301
1804,500.0,47.932655334472656,-25.5930118560791,3016,0.00943300686776638,3.94643497467041,0.00075,45334,910000,148.83,301
1808,500.0,,,3016,,,,,910000,148.83,301
1812,500.0,,,3016,,,,,910000,148.83,301
1816,500.0,,,3016,,,,,910000,148.83,301
1820,500.0,,,3016,,,,,910000,148.83,301
1824,500.0,0.9477123618125916,-20.590116500854492,3049,0.009152340702712536,5.554741859436035,0.00075,45834,920000,133.81,301
1828,500.0,,,3049,,,,,920000,133.81,301
1832,500.0,,,3049,,,,,920000,133.81,301
1836,500.0,,,3049,,,,,920000,133.81,301
1840,500.0,,,3049,,,,,920000,133.81,301
1844,500.0,53.720523834228516,-23.05312728881836,3082,0.009987167082726955,4.549683570861816,0.00075,46334,930000,169.07,301
1848,500.0,,,3082,,,,,930000,169.07,301
1852,500.0,,,3082,,,,,930000,169.07,301
1856,500.0,,,3082,,,,,930000,169.07,301
1860,500.0,,,3082,,,,,930000,169.07,301
1864,500.0,1.750842571258545,-24.763105392456055,3115,0.010454773902893066,-1.157334566116333,0.00075,46834,940000,140.61,301
1868,500.0,,,3115,,,,,940000,140.61,301
1872,500.0,,,3115,,,,,940000,140.61,301
1876,500.0,,,3115,,,,,940000,140.61,301
1880,500.0,,,3115,,,,,940000,140.61,301
1884,500.0,0.6284627914428711,-23.90707778930664,3147,0.010038573294878006,-0.8391777276992798,0.00075,47334,950000,167.93,301
1888,500.0,,,3147,,,,,950000,167.93,301
1892,500.0,,,3147,,,,,950000,167.93,301
1896,500.0,,,3147,,,,,950000,167.93,301
1900,500.0,,,3147,,,,,950000,167.93,301
1904,500.0,3.3021488189697266,-28.56704330444336,3180,0.011017353273928165,-2.04938006401062,0.00075,47834,960000,213.6,301
1908,500.0,,,3180,,,,,960000,213.6,301
1912,500.0,,,3180,,,,,960000,213.6,301
1916,500.0,,,3180,,,,,960000,213.6,301
1920,500.0,,,3180,,,,,960000,213.6,301
1924,500.0,0.6578946113586426,-24.407806396484375,3213,0.010378925129771233,0.12629836797714233,0.00075,48334,970000,216.79,301
1928,500.0,,,3213,,,,,970000,216.79,301
1932,500.0,,,3213,,,,,970000,216.79,301
1936,500.0,,,3213,,,,,970000,216.79,301
1940,500.0,,,3213,,,,,970000,216.79,301
1944,500.0,0.9997937679290771,-24.579208374023438,3246,0.01078521367162466,5.361344337463379,0.00075,48834,980000,164.86,301
1948,500.0,,,3246,,,,,980000,164.86,301
1952,500.0,,,3246,,,,,980000,164.86,301
1956,500.0,,,3246,,,,,980000,164.86,301
1960,500.0,,,3246,,,,,980000,164.86,301
1964,500.0,0.5178877115249634,-24.368906021118164,3279,0.01081811636686325,5.286133766174316,0.00075,49334,990000,220.31,301
1968,500.0,,,3279,,,,,990000,220.31,301
1972,500.0,,,3279,,,,,990000,220.31,301
1976,500.0,,,3279,,,,,990000,220.31,301
1980,500.0,,,3279,,,,,990000,220.31,301
1984,500.0,0.5581168532371521,-26.34082794189453,3313,0.010713118128478527,-1.3320375680923462,0.00075,49834,1000000,228.06,301
1988,500.0,,,3313,,,,,1000000,228.06,301
1992,500.0,,,3313,,,,,1000000,228.06,301
1996,500.0,,,3313,,,,,1000000,228.06,301
2000,500.0,,,3313,,,,,1000000,228.06,301
