train/actor_loss,time/episodes,time/total_timesteps,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef
-20.941797256469727,204,110000,5334,0.024546395987272263,-36.44063949584961,500.0,308,0.00075,356,0.9464607600000001,0.01952049694955349
,208,110000,,,,500.0,308,,357,0.9464607600000001,
,212,110000,,,,500.0,308,,357,0.9464607600000001,
,216,110000,,,,500.0,308,,357,0.9464607600000001,
,220,110000,,,,500.0,308,,357,0.9464607600000001,
-20.211769104003906,224,120000,5834,0.0735921710729599,-32.98826599121094,500.0,308,0.00075,389,1.07656378,0.014086325652897358
,228,120000,,,,500.0,308,,389,1.07656378,
,232,120000,,,,500.0,308,,389,1.07656378,
,236,120000,,,,500.0,308,,389,1.07656378,
,240,120000,,,,500.0,308,,389,1.07656378,
-19.901460647583008,244,130000,6334,6.278085708618164,-10.320322036743164,500.0,307,0.00075,422,0.9880562100000002,0.010563207790255547
,248,130000,,,,500.0,307,,422,0.9880562100000002,
,252,130000,,,,500.0,307,,422,0.9880562100000002,
,256,130000,,,,500.0,307,,422,0.9880562100000002,
,260,130000,,,,500.0,307,,422,0.9880562100000002,
-19.274280548095703,264,140000,6834,0.04022189974784851,-21.420879364013672,500.0,307,0.00075,455,1.11681928,0.008100378327071667
,268,140000,,,,500.0,307,,455,1.11681928,
,272,140000,,,,500.0,307,,455,1.11681928,
,276,140000,,,,500.0,307,,455,1.11681928,
,280,140000,,,,500.0,307,,455,1.11681928,
-19.117904663085938,284,150000,7334,0.07252344489097595,-14.286022186279297,500.0,307,0.00075,488,0.98835876,0.006377954501658678
,288,150000,,,,500.0,307,,488,0.98835876,
,292,150000,,,,500.0,307,,488,0.98835876,
,296,150000,,,,500.0,307,,488,0.98835876,
,300,150000,,,,500.0,307,,488,0.98835876,
-18.61699676513672,304,160000,7834,0.039820536971092224,-20.05492401123047,500.0,306,0.00075,521,0.9686563000000001,0.0051436894573271275
,308,160000,,,,500.0,306,,521,0.9686563000000001,
,312,160000,,,,500.0,306,,521,0.9686563000000001,
,316,160000,,,,500.0,306,,521,0.9686563000000001,
,320,160000,,,,500.0,306,,521,0.9686563000000001,
-18.157207489013672,324,170000,8334,0.030388547107577324,-11.033014297485352,500.0,306,0.00075,553,0.90632368,0.0045633683912456036
,328,170000,,,,500.0,306,,553,0.90632368,
,332,170000,,,,500.0,306,,553,0.90632368,
,336,170000,,,,500.0,306,,553,0.90632368,
,340,170000,,,,500.0,306,,553,0.90632368,
-17.839214324951172,344,180000,8834,0.044036589562892914,-7.575259208679199,500.0,306,0.00075,587,1.1153507100000002,0.003982874099165201
,348,180000,,,,500.0,306,,587,1.1153507100000002,
,352,180000,,,,500.0,306,,587,1.1153507100000002,
,356,180000,,,,500.0,306,,587,1.1153507100000002,
,360,180000,,,,500.0,306,,587,1.1153507100000002,
