train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/fps,time/episodes,train/n_updates
0.00075,500.0,597,0.003386469790711999,-17.026958465576172,0.0,133000,4.074498653411865,-0.5748476982116699,222,260,9264
0.00075,500.0,628,0.0031747412867844105,-16.79869842529297,0.0,140000,2.495522975921631,-9.823086738586426,222,270,9764
,500.0,628,,,0.0,140000,,,222,280,
0.00075,500.0,659,0.0029582150746136904,-16.723468780517578,0.0,147000,0.07357434928417206,-5.670051574707031,222,290,10264
0.00075,500.0,690,0.003110460238531232,-16.386493682861328,0.16,154000,1.9498766660690308,-1.5150161981582642,223,300,10764
0.00075,500.0,721,0.0029815174639225006,-15.895681381225586,0.16,161000,0.04123586416244507,-5.792786121368408,223,310,11264
,500.0,721,,,0.16,161000,,,223,320,
0.00075,500.0,751,0.002764496486634016,-15.448772430419922,0.16,168000,0.022294312715530396,-5.175881385803223,223,330,11764
0.00075,500.0,784,0.002672861097380519,-14.9753999710083,0.16,175000,0.020747052505612373,4.9662041664123535,223,340,12264
,500.0,784,,,0.16,175000,,,223,350,
0.00075,500.0,817,0.002707929350435734,-14.670816421508789,0.16,182000,0.03925064206123352,8.725637435913086,222,360,12764
0.00075,500.0,850,0.002850363729521632,-14.299196243286133,0.16,189000,0.014391141012310982,4.983209133148193,222,370,13264
0.00075,500.0,881,0.002508571371436119,-13.705530166625977,0.16,196000,0.13633078336715698,-0.4192012548446655,222,380,13764
,500.0,881,,,0.16,196000,,,222,390,
0.00075,500.0,914,0.0025806415360420942,-13.510841369628906,0.16,203000,0.018757037818431854,-1.2101993560791016,221,400,14264
0.00075,500.0,946,0.002650605281814933,-13.374065399169922,0.0,210000,0.029310476034879684,0.9051014184951782,221,410,14764
,500.0,946,,,0.0,210000,,,221,420,
0.00075,500.0,977,0.0027316908817738295,-13.09965705871582,0.0,217000,1.3092479705810547,4.174326419830322,221,430,15264
0.00075,500.0,1008,0.002338202204555273,-12.848567962646484,0.0,224000,0.013552393764257431,5.745359420776367,222,440,15764
0.00075,500.0,1041,0.0022929804399609566,-12.365156173706055,0.0,231000,0.012392910197377205,9.862357139587402,221,450,16264
,500.0,1041,,,0.0,231000,,,221,460,
0.00075,500.0,1072,0.0024900075513869524,-12.077736854553223,0.0,238000,0.013078020885586739,-7.8653883934021,221,470,16764
0.00075,500.0,1105,0.0023061265237629414,-11.773340225219727,0.0,245000,0.013823152519762516,5.679732799530029,221,480,17264
,500.0,1105,,,0.0,245000,,,221,490,
0.00075,500.0,1137,0.0021593705751001835,-11.684975624084473,0.0,252000,0.018458399921655655,0.26650530099868774,221,500,17764
0.00075,500.0,1168,0.002256277482956648,-11.428801536560059,0.0,259000,1.1033899784088135,-10.72087574005127,221,510,18264
0.00075,500.0,1201,0.0019537759944796562,-10.5861177444458,0.0,266000,0.1472548544406891,-4.792222499847412,221,520,18764
,500.0,1201,,,0.0,266000,,,221,530,
0.00075,500.0,1232,0.0018489875365048647,-10.986922264099121,0.0,273000,0.019918719306588173,20.13211441040039,221,540,19264
0.00075,500.0,1263,0.0017558489926159382,-10.530583381652832,0.0,280000,0.008523568511009216,9.461074829101562,221,550,19764
,500.0,1263,,,0.0,280000,,,221,560,
0.00075,500.0,1295,0.001885884557850659,-10.174385070800781,0.0,287000,0.022202949970960617,-0.8893036842346191,221,570,20264
0.00075,500.0,1326,0.00162020162679255,-10.12139892578125,0.0,294000,0.01683821529150009,9.732029914855957,221,580,20764
0.00075,500.0,1357,0.001586766680702567,-9.902021408081055,0.0,301000,0.02177910879254341,0.31718015670776367,221,590,21264
,500.0,1358,,,0.0,301000,,,221,600,
0.00075,500.0,1389,0.0015123644843697548,-9.793049812316895,0.0,308000,0.011059325188398361,-1.4522161483764648,221,610,21764
0.00075,500.0,1421,0.0015220994828268886,-9.725837707519531,0.0,315000,0.015194441191852093,-5.85605001449585,221,620,22264
,500.0,1421,,,0.0,315000,,,221,630,
0.00075,500.0,1453,0.0013210439356043935,-9.590331077575684,0.0,322000,0.008368441835045815,-11.426565170288086,221,640,22764
0.00075,500.0,1484,0.0013397017028182745,-8.968807220458984,0.0,329000,0.00877407193183899,-5.301258087158203,221,650,23264
0.00075,500.0,1516,0.0012431623181328177,-8.894432067871094,0.0,336000,0.00977916456758976,-6.564696311950684,221,660,23764
,500.0,1516,,,0.0,336000,,,221,670,
0.00075,500.0,1547,0.0012259834911674261,-8.701250076293945,0.0,343000,0.006992833688855171,4.554938316345215,221,680,24264
0.00075,500.0,1579,0.0012627104297280312,-8.716011047363281,0.0,350000,0.007363897282630205,-6.944629192352295,221,690,24764
,500.0,1579,,,0.0,350000,,,221,700,
0.00075,500.0,1611,0.0011712503619492054,-8.295157432556152,0.0,357000,0.005113774444907904,-3.2128686904907227,221,710,25264
0.00075,500.0,1643,0.0011158337583765388,-7.99491024017334,0.0,364000,0.005089248530566692,-2.203690528869629,221,720,25764
0.00075,500.0,1675,0.0010194970527663827,-7.975712299346924,0.0,371000,0.007225196808576584,0.7871692180633545,221,730,26264
,500.0,1675,,,0.0,371000,,,221,740,
0.00075,500.0,1707,0.0010698690311983228,-7.802528381347656,0.0,378000,0.006970081478357315,-4.792316436767578,221,750,26764
0.00075,500.0,1739,0.0009752869955264032,-7.577795028686523,0.0,385000,0.006727965082973242,-2.5571677684783936,221,760,27264
,500.0,1739,,,0.0,385000,,,221,770,
0.00075,500.0,1770,0.0009606689563952386,-7.496681213378906,0.0,392000,0.005045218393206596,-9.828375816345215,221,780,27764
0.00075,500.0,1802,0.0009461517329327762,-7.138404369354248,0.0,399000,0.00398479588329792,4.740906715393066,221,790,28264
0.00075,500.0,1834,0.000926853041164577,-6.893877983093262,0.0,406000,0.006578448228538036,6.946489334106445,221,800,28764
,500.0,1834,,,0.0,406000,,,221,810,
0.00075,500.0,1865,0.0009282175451517105,-6.932980537414551,0.0,413000,0.0031473073177039623,-6.3986687660217285,221,820,29264
0.00075,500.0,1897,0.0008220955496653914,-6.834126949310303,0.0,420000,0.0042608268558979034,-6.15006160736084,221,830,29764
,500.0,1897,,,0.0,420000,,,221,840,
0.00075,500.0,1929,0.000948562694247812,-6.4684906005859375,0.0,427000,0.005608477629721165,2.3608179092407227,221,850,30264
0.00075,500.0,1961,0.0009247984271496534,-6.365952491760254,0.0,434000,0.004570376593619585,11.596599578857422,221,860,30764
0.00075,500.0,1993,0.0008365856483578682,-6.10044002532959,0.0,441000,0.0042817313224077225,-0.321161150932312,221,870,31264
,500.0,1993,,,0.0,441000,,,221,880,
0.00075,500.0,2025,0.0007503394735977054,-6.150084018707275,0.0,448000,0.0034880456514656544,-9.36135482788086,221,890,31764
0.00075,500.0,2056,0.0008189170621335506,-5.928365707397461,0.0,455000,0.0030450127087533474,-4.936672210693359,221,900,32264
,500.0,2056,,,0.0,455000,,,221,910,
0.00075,500.0,2088,0.0007806054200045764,-5.713443279266357,0.0,462000,0.006018012762069702,-3.7880666255950928,221,920,32764
0.00075,500.0,2120,0.0007548236753791571,-5.656146049499512,0.0,469000,0.003483021166175604,8.6470365524292,221,930,33264
0.00075,500.0,2152,0.0006868286291137338,-5.54863166809082,0.0,476000,0.003430083394050598,3.623805046081543,221,940,33764
,500.0,2152,,,0.0,476000,,,221,950,
0.00075,500.0,2184,0.0006918739527463913,-5.302319526672363,0.0,483000,0.00793197751045227,5.309185028076172,221,960,34264
