train/n_updates,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef
4334,500.0,164,288,0.003,5.07,90000,311,-4.986898899078369,0.010252364911139011,-11.424549102783203,0.0011914928909391165
,500.0,168,288,,5.07,90000,311,,,,
,500.0,172,288,,5.07,90000,311,,,,
,500.0,176,288,,5.07,90000,311,,,,
,500.0,180,288,,5.07,90000,311,,,,
4834,500.0,184,320,0.003,3.17,100000,311,-4.960975646972656,0.013754135929048061,-2.0496816635131836,0.0010787321953102946
,500.0,188,320,,3.17,100000,311,,,,
,500.0,192,320,,3.17,100000,311,,,,
,500.0,196,320,,3.17,100000,311,,,,
,500.0,200,320,,3.17,100000,311,,,,
5334,500.0,204,352,0.003,4.75,110000,311,-4.71691370010376,0.00503473961725831,-2.129995822906494,0.0013909958070144057
,500.0,208,352,,4.75,110000,311,,,,
,500.0,212,352,,4.75,110000,311,,,,
,500.0,216,352,,4.75,110000,311,,,,
,500.0,220,352,,4.75,110000,311,,,,
5834,500.0,224,384,0.003,4.75,120000,312,-4.379739761352539,0.16674798727035522,1.0069174766540527,0.0009314292692579329
,500.0,228,384,,4.75,120000,312,,,,
,500.0,232,384,,4.75,120000,312,,,,
,500.0,236,384,,4.75,120000,312,,,,
,500.0,240,384,,4.75,120000,312,,,,
6334,500.0,244,416,0.003,3.02,130000,312,-4.247901439666748,0.019826196134090424,-13.628267288208008,0.0011012568138539791
,500.0,248,416,,3.02,130000,312,,,,
,500.0,252,416,,3.02,130000,312,,,,
,500.0,256,416,,3.02,130000,312,,,,
,500.0,260,416,,3.02,130000,312,,,,
6834,500.0,264,448,0.003,6.35,140000,312,-4.186025142669678,0.008576691150665283,21.43419647216797,0.0009377959067933261
,500.0,268,448,,6.35,140000,312,,,,
,500.0,272,448,,6.35,140000,312,,,,
,500.0,276,448,,6.35,140000,312,,,,
,500.0,280,448,,6.35,140000,312,,,,
7334,500.0,284,480,0.003,4.93,150000,312,-4.058602333068848,0.031452156603336334,-34.99449157714844,0.0019156485795974731
,500.0,288,480,,4.93,150000,312,,,,
,500.0,292,480,,4.93,150000,312,,,,
,500.0,296,480,,4.93,150000,312,,,,
,500.0,300,480,,4.93,150000,312,,,,
7834,500.0,304,513,0.003,4.65,160000,311,-4.20497989654541,0.08901874721050262,15.076009750366211,0.0009076020796783268
,500.0,308,513,,4.65,160000,311,,,,
,500.0,312,513,,4.65,160000,311,,,,
,500.0,316,513,,4.65,160000,311,,,,
,500.0,320,513,,4.65,160000,311,,,,
8334,500.0,324,545,0.003,10.13,170000,311,-4.321831226348877,0.01606716401875019,21.096399307250977,0.0009003016748465598
,500.0,328,545,,10.13,170000,311,,,,
,500.0,332,545,,10.13,170000,311,,,,
,500.0,336,545,,10.13,170000,311,,,,
,500.0,340,545,,10.13,170000,311,,,,
8834,500.0,344,577,0.003,10.32,180000,311,-4.23281192779541,0.01864316314458847,-35.525413513183594,0.00105246901512146
,500.0,348,577,,10.32,180000,311,,,,
,500.0,352,577,,10.32,180000,311,,,,
,500.0,356,577,,10.32,180000,311,,,,
,500.0,360,577,,10.32,180000,311,,,,
9334,500.0,364,609,0.003,20.0,190000,311,-3.887082576751709,0.016327638179063797,-10.957234382629395,0.0015651590656489134
,500.0,368,609,,20.0,190000,311,,,,
,500.0,372,609,,20.0,190000,311,,,,
,500.0,376,609,,20.0,190000,311,,,,
,500.0,380,609,,20.0,190000,311,,,,
9834,500.0,384,641,0.003,22.92,200000,311,-4.211155891418457,0.24087226390838623,-19.97308349609375,0.0013217792147770524
,500.0,388,641,,22.92,200000,311,,,,
,500.0,392,641,,22.92,200000,311,,,,
,500.0,396,641,,22.92,200000,311,,,,
,500.0,400,641,,22.92,200000,311,,,,
