time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef_loss
302,312,160000,,,,,500.0,,0.8948494699999999,528,
302,316,160000,,,,,500.0,,0.8948494699999999,528,
302,320,160000,,,,,500.0,,0.8948494699999999,528,
302,324,170000,0.00075,0.0035809308756142855,0.03233128413558006,8334,500.0,-18.035293579101562,0.9226652999999999,562,-22.567012786865234
302,328,170000,,,,,500.0,,0.9226652999999999,562,
302,332,170000,,,,,500.0,,0.9226652999999999,562,
302,336,170000,,,,,500.0,,0.9226652999999999,562,
302,340,170000,,,,,500.0,,0.9226652999999999,562,
302,344,180000,0.00075,0.0031485920771956444,0.03908095508813858,8834,500.0,-17.751728057861328,0.91930615,595,1.3991729021072388
302,348,180000,,,,,500.0,,0.91930615,595,
302,352,180000,,,,,500.0,,0.91930615,595,
302,356,180000,,,,,500.0,,0.91930615,595,
