train/n_updates,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/ent_coef_loss,train/ent_coef,time/fps,time/total_timesteps,train/actor_loss,time/episodes
15764,500.0,0.013376165181398392,0.06,0.00075,1023,-10.665443420410156,0.002529002260416746,218,224000,-13.143085479736328,440
16264,500.0,0.01884027197957039,0.06,0.00075,1058,-9.24272346496582,0.0026133356150239706,218,231000,-13.000606536865234,450
,500.0,,0.06,,1058,,,218,231000,,460
16764,500.0,0.02000284381210804,3.63,0.00075,1092,-4.479216575622559,0.002455834299325943,217,238000,-12.399822235107422,470
17264,500.0,0.019058439880609512,3.63,0.00075,1126,10.809995651245117,0.002477620029821992,217,245000,-12.426119804382324,480
,500.0,,3.63,,1126,,,217,245000,,490
17764,500.0,0.01549670659005642,3.93,0.00075,1160,-3.741983413696289,0.002585600595921278,217,252000,-12.172372817993164,500
18264,500.0,0.024020995944738388,7.36,0.00075,1194,-5.454381942749023,0.0024143108166754246,216,259000,-11.77429485321045,510
18764,500.0,0.03316731005907059,7.36,0.00075,1228,-6.307269096374512,0.002374951960518956,216,266000,-11.592248916625977,520
,500.0,,7.36,,1228,,,216,266000,,530
19264,500.0,0.016889717429876328,7.3,0.00075,1262,-1.636845350265503,0.002288998570293188,216,273000,-11.297239303588867,540
19764,500.0,0.7601050138473511,7.3,0.00075,1296,-10.140730857849121,0.0021282234229147434,215,280000,-11.032917022705078,550
,500.0,,7.3,,1296,,,215,280000,,560
20264,500.0,0.01710313931107521,3.73,0.00075,1330,3.5578417778015137,0.0021437169052660465,215,287000,-10.69898796081543,570
20764,500.0,0.012505640275776386,3.73,0.00075,1364,-5.814220428466797,0.0017678153235465288,215,294000,-10.733026504516602,580
21264,500.0,0.7633579969406128,3.43,0.00075,1398,-0.9884688854217529,0.0016865137731656432,215,301000,-10.377338409423828,590
,500.0,,3.43,,1398,,,215,301000,,600
21764,500.0,0.016143500804901123,0.0,0.00075,1432,-5.265866279602051,0.0016539511270821095,214,308000,-10.308143615722656,610
22264,500.0,0.02709662914276123,0.0,0.00075,1466,-3.7459304332733154,0.0015971839893609285,214,315000,-9.99189567565918,620
,500.0,,0.0,,1466,,,214,315000,,630
22764,500.0,0.012779554352164268,0.0,0.00075,1501,-8.121482849121094,0.0016806925414130092,214,322000,-9.86654281616211,640
23264,500.0,0.015123623423278332,0.0,0.00075,1535,-6.536863327026367,0.0017952253110706806,214,329000,-9.664441108703613,650
23764,500.0,0.18585491180419922,0.0,0.00075,1569,3.2849693298339844,0.001744904206134379,214,336000,-9.382606506347656,660
,500.0,,0.0,,1569,,,214,336000,,670
24264,500.0,0.7098633646965027,0.0,0.00075,1602,16.89947509765625,0.0017525131115689874,213,343000,-8.906717300415039,680
24764,500.0,0.011225842870771885,0.0,0.00075,1636,-7.313254356384277,0.001741582527756691,213,350000,-8.89512825012207,690
,500.0,,0.0,,1636,,,213,350000,,700
25264,500.0,0.01850030943751335,0.0,0.00075,1670,-1.6887387037277222,0.0016398221487179399,213,357000,-8.618330955505371,710
25764,500.0,0.005925928242504597,0.0,0.00075,1704,8.117762565612793,0.0016318332636728883,213,364000,-8.728104591369629,720
26264,500.0,0.009924240410327911,0.0,0.00075,1738,-7.123823165893555,0.0014866301789879799,213,371000,-8.389162063598633,730
,500.0,,0.0,,1738,,,213,371000,,740
26764,500.0,0.029036246240139008,0.0,0.00075,1772,-1.1801204681396484,0.0015463860472664237,213,378000,-7.968230247497559,750
27264,500.0,0.014025231823325157,0.0,0.00075,1807,4.218090057373047,0.0013010479742661119,213,385000,-7.977317810058594,760
,500.0,,0.0,,1807,,,213,385000,,770
27764,500.0,0.00886167399585247,0.0,0.00075,1841,7.160097122192383,0.0012983292108401656,212,392000,-7.714531421661377,780
28264,500.0,0.006008814554661512,0.0,0.00075,1874,-7.83096170425415,0.0011789925629273057,212,399000,-7.568790435791016,790
28764,500.0,0.8163608908653259,0.0,0.00075,1907,4.044642448425293,0.001206405577249825,212,406000,-7.577505588531494,800
,500.0,,0.0,,1907,,,212,406000,,810
29264,500.0,0.3056434392929077,0.0,0.00075,1940,-5.077183723449707,0.0011894238414242864,212,413000,-7.340062141418457,820
29764,500.0,0.006232363171875477,0.0,0.00075,1974,-4.006915092468262,0.00118854152970016,212,420000,-7.134677886962891,830
,500.0,,0.0,,1974,,,212,420000,,840
30264,500.0,0.010925307869911194,0.0,0.00075,2007,-3.8681836128234863,0.0012883024755865335,212,427000,-6.896309852600098,850
30764,500.0,0.004405193496495485,0.0,0.00075,2040,-8.037306785583496,0.001249520224519074,212,434000,-6.989946365356445,860
31264,500.0,0.0036460089031606913,0.0,0.00075,2073,-5.258145332336426,0.0012354175560176373,212,441000,-6.835676670074463,870
,500.0,,0.0,,2073,,,212,441000,,880
31764,500.0,0.00369654456153512,0.0,0.00075,2106,-10.918413162231445,0.0011948035098612309,212,448000,-6.797769546508789,890
32264,500.0,0.011323520913720131,0.0,0.00075,2139,-0.9839569926261902,0.0011777867330238223,212,455000,-6.354660987854004,900
,500.0,,0.0,,2139,,,212,455000,,910
32764,500.0,0.003750300034880638,0.0,0.00075,2172,1.8228366374969482,0.0010769437067210674,212,462000,-6.259631633758545,920
33264,500.0,0.006205580197274685,0.0,0.00075,2206,4.58111572265625,0.0010613868944346905,212,469000,-6.178136348724365,930
33764,500.0,0.005653910338878632,0.0,0.00075,2240,-2.283050060272217,0.0010233354987576604,212,476000,-6.005718231201172,940
,500.0,,0.0,,2240,,,212,476000,,950
34264,500.0,0.006077281199395657,0.0,0.00075,2273,-1.828822374343872,0.0010830332757905126,212,483000,-5.932497024536133,960
34764,500.0,0.306476354598999,0.0,0.00075,2307,3.8665008544921875,0.000998730887658894,212,490000,-5.858980178833008,970
,500.0,,0.0,,2307,,,212,490000,,980
35264,500.0,0.13866710662841797,0.0,0.00075,2340,6.586132049560547,0.0011470633326098323,212,497000,-5.556051254272461,990
35764,500.0,0.3574427366256714,0.0,0.00075,2373,10.876296997070312,0.0010149066802114248,212,504000,-5.452355861663818,1000
36264,500.0,0.004584046546369791,2.68,0.00075,2406,0.378464937210083,0.0009455402032472193,212,511000,-5.420112609863281,1010
,500.0,,2.68,,2406,,,212,511000,,1020
36764,500.0,0.00375130632892251,2.68,0.00075,2440,-1.2303709983825684,0.00097050447948277,212,518000,-5.248661518096924,1030
37264,500.0,0.3980342745780945,2.68,0.00075,2473,0.9182379245758057,0.0009208052651956677,212,525000,-5.336827278137207,1040
,500.0,,2.68,,2473,,,212,525000,,1050
37764,500.0,0.18496878445148468,2.68,0.00075,2507,10.588592529296875,0.0009232136071659625,212,532000,-5.008135795593262,1060
38264,500.0,0.003387256059795618,2.68,0.00075,2541,-6.731755256652832,0.0009792507626116276,212,539000,-5.086657524108887,1070
38764,500.0,0.010022260248661041,2.68,0.00075,2575,17.360681533813477,0.0009085079655051231,212,546000,-4.859518051147461,1080
,500.0,,2.68,,2575,,,212,546000,,1090
