train/critic_loss,train/n_updates,time/episodes,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/ent_coef,time/fps
0.03702888265252113,12264,340,-15.371893882751465,0.00075,3.688702399999999,500.0,-1.3356928825378418,175000,811,0.0030382154509425163,215
,,350,,,3.688702399999999,500.0,,175000,811,,215
3.4409878253936768,12764,360,-15.06115436553955,0.00075,3.27384242,500.0,-9.662704467773438,182000,844,0.0032989662140607834,215
0.07116638123989105,13264,370,-15.017444610595703,0.00075,3.1183142700000004,500.0,-4.180548667907715,189000,878,0.00306886644102633,215
1.0347659587860107,13764,380,-14.577356338500977,0.00075,2.31355156,500.0,7.532589912414551,196000,910,0.0027377691585570574,215
,,390,,,2.31355156,500.0,,196000,910,,215
0.05146416649222374,14264,400,-14.180869102478027,0.00075,1.8244600499999999,500.0,-3.970132827758789,203000,942,0.002505806041881442,215
0.05134196579456329,14764,410,-13.98509407043457,0.00075,1.51506017,500.0,9.650697708129883,210000,974,0.002684395993128419,215
,,420,,,1.51506017,500.0,,210000,974,,215
1.4372638463974,15264,430,-13.905960083007812,0.00075,1.4440175,500.0,-6.315102577209473,217000,1005,0.002761566312983632,215
0.02685513161122799,15764,440,-13.564912796020508,0.00075,1.51538624,500.0,-0.11480796337127686,224000,1037,0.002464672550559044,215
1.3110475540161133,16264,450,-13.343462944030762,0.00075,1.6592877599999998,500.0,-6.481228828430176,231000,1068,0.0027583958581089973,216
,,460,,,1.6592877599999998,500.0,,231000,1068,,216
0.0980437695980072,16764,470,-12.700316429138184,0.00075,3.5028726,500.0,3.1905829906463623,238000,1100,0.002395978197455406,216
0.024740438908338547,17264,480,-13.056105613708496,0.00075,3.9868339699999997,500.0,8.305209159851074,245000,1132,0.0022239245008677244,216
,,490,,,3.9868339699999997,500.0,,245000,1132,,216
0.42304348945617676,17764,500,-12.34743595123291,0.00075,4.8334445399999995,500.0,-3.185222625732422,252000,1164,0.0024212950374931097,216
0.013927332125604153,18264,510,-12.302118301391602,0.00075,5.15844784,500.0,1.904068112373352,259000,1196,0.0024471464566886425,216
0.05315474793314934,18764,520,-12.088408470153809,0.00075,5.152251810000001,500.0,2.618546962738037,266000,1228,0.002703756559640169,216
,,530,,,5.152251810000001,500.0,,266000,1228,,216
1.1200062036514282,19264,540,-11.837015151977539,0.00075,5.32812907,500.0,1.327685832977295,273000,1259,0.0026246539782732725,216
0.04298033565282822,19764,550,-11.431047439575195,0.00075,6.046705170000001,500.0,-0.08710646629333496,280000,1291,0.0026248928625136614,216
,,560,,,6.046705170000001,500.0,,280000,1291,,216
0.029396450147032738,20264,570,-11.220380783081055,0.00075,10.224825540000001,500.0,-4.498382568359375,287000,1323,0.0026750259567052126,216
