train/learning_rate,train/ent_coef,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/actor_loss,train/critic_loss,time/fps,time/time_elapsed,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean
,,500.0,148,80000,,,307,260,,,1.9255625799999998
,,500.0,152,80000,,,307,260,,,1.9255625799999998
,,500.0,156,80000,,,306,260,,,1.9255625799999998
,,500.0,160,80000,,,306,260,,,1.9255625799999998
0.00075,0.03933069482445717,500.0,164,90000,-22.094789505004883,0.044174402952194214,307,293,-36.646949768066406,4334,1.8585360799999997
,,500.0,168,90000,,,307,293,,,1.8585360799999997
,,500.0,172,90000,,,307,293,,,1.8585360799999997
,,500.0,176,90000,,,307,293,,,1.8585360799999997
,,500.0,180,90000,,,307,293,,,1.8585360799999997
0.00075,0.027437161654233932,500.0,184,100000,-21.474632263183594,0.08256805688142776,306,325,-37.98855972290039,4834,1.7405306099999995
,,500.0,188,100000,,,306,325,,,1.7405306099999995
,,500.0,192,100000,,,306,325,,,1.7405306099999995
,,500.0,196,100000,,,306,325,,,1.7405306099999995
,,500.0,200,100000,,,306,325,,,1.7405306099999995
0.00075,0.019293485209345818,500.0,204,110000,-20.930641174316406,0.08033394813537598,305,359,-41.74718475341797,5334,2.1776708300000003
,,500.0,208,110000,,,305,359,,,2.1776708300000003
,,500.0,212,110000,,,305,359,,,2.1776708300000003
,,500.0,216,110000,,,305,359,,,2.1776708300000003
,,500.0,220,110000,,,305,359,,,2.1776708300000003
0.00075,0.01382247544825077,500.0,224,120000,-20.743165969848633,3.1157217025756836,305,393,-24.96661376953125,5834,2.0596511599999996
,,500.0,228,120000,,,305,393,,,2.0596511599999996
,,500.0,232,120000,,,305,393,,,2.0596511599999996
,,500.0,236,120000,,,305,393,,,2.0596511599999996
,,500.0,240,120000,,,305,393,,,2.0596511599999996
0.00075,0.010210738517343998,500.0,244,130000,-20.11263656616211,0.052014343440532684,304,426,-29.521976470947266,6334,1.7556151
,,500.0,248,130000,,,304,426,,,1.7556151
,,500.0,252,130000,,,304,426,,,1.7556151
,,500.0,256,130000,,,304,426,,,1.7556151
,,500.0,260,130000,,,304,426,,,1.7556151
0.00075,0.007545416243374348,500.0,264,140000,-19.3129825592041,0.0388665646314621,303,460,-39.65791320800781,6834,1.7211405300000002
,,500.0,268,140000,,,303,460,,,1.7211405300000002
,,500.0,272,140000,,,303,460,,,1.7211405300000002
,,500.0,276,140000,,,303,460,,,1.7211405300000002
,,500.0,280,140000,,,303,460,,,1.7211405300000002
0.00075,0.005827668588608503,500.0,284,150000,-18.747726440429688,0.034320004284381866,303,494,-20.526968002319336,7334,1.6581914
,,500.0,288,150000,,,303,494,,,1.6581914
,,500.0,292,150000,,,303,494,,,1.6581914
,,500.0,296,150000,,,303,494,,,1.6581914
,,500.0,300,150000,,,303,494,,,1.6581914
0.00075,0.004680519923567772,500.0,304,160000,-18.175167083740234,0.05780138820409775,302,528,-12.252036094665527,7834,1.35104872
,,500.0,308,160000,,,302,528,,,1.35104872
,,500.0,312,160000,,,302,528,,,1.35104872
,,500.0,316,160000,,,302,528,,,1.35104872
,,500.0,320,160000,,,302,528,,,1.35104872
0.00075,0.0037721232511103153,500.0,324,170000,-17.410396575927734,0.024359453469514847,302,562,-13.326282501220703,8334,1.4719473899999997
,,500.0,328,170000,,,302,562,,,1.4719473899999997
,,500.0,332,170000,,,302,562,,,1.4719473899999997
,,500.0,336,170000,,,302,562,,,1.4719473899999997
,,500.0,340,170000,,,302,562,,,1.4719473899999997
0.00075,0.003333143889904022,500.0,344,180000,-17.407108306884766,0.0521787591278553,301,596,1.659070611000061,8834,1.63662891
,,500.0,348,180000,,,301,596,,,1.63662891
,,500.0,352,180000,,,301,596,,,1.63662891
