train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/ent_coef,rollout/ep_rew_mean,time/fps,train/n_updates,time/episodes,train/learning_rate,time/time_elapsed
,500.0,,580000,,,19.386075320000003,388,,1148,,1493
,500.0,,580000,,,19.386075320000003,388,,1152,,1493
,500.0,,580000,,,19.386075320000003,388,,1156,,1493
,500.0,,580000,,,19.386075320000003,388,,1160,,1493
-7.456301689147949,500.0,3.307300329208374,590000,0.017577100545167923,0.0017815716564655304,15.471543839999999,388,29334,1164,0.00075,1519
,500.0,,590000,,,15.471543839999999,388,,1168,,1519
,500.0,,590000,,,15.471543839999999,388,,1172,,1519
,500.0,,590000,,,15.471543839999999,388,,1176,,1519
,500.0,,590000,,,15.471543839999999,388,,1180,,1519
-7.548735618591309,500.0,6.942104339599609,600000,0.016286375001072884,0.001942194881848991,18.857329590000003,388,29834,1184,0.00075,1545
,500.0,,600000,,,18.857329590000003,388,,1188,,1545
,500.0,,600000,,,18.857329590000003,388,,1192,,1545
,500.0,,600000,,,18.857329590000003,388,,1196,,1545
,500.0,,600000,,,18.857329590000003,388,,1200,,1545
-7.228352069854736,500.0,1.290773868560791,610000,0.01862751692533493,0.0014940088149160147,15.626386069999999,388,30334,1204,0.00075,1570
,500.0,,610000,,,15.626386069999999,388,,1208,,1570
,500.0,,610000,,,15.626386069999999,388,,1212,,1570
,500.0,,610000,,,15.626386069999999,388,,1216,,1570
,500.0,,610000,,,15.626386069999999,388,,1220,,1570
-7.3264546394348145,500.0,-5.343704700469971,620000,0.020691674202680588,0.0016291632782667875,21.418446080000002,388,30834,1224,0.00075,1596
,500.0,,620000,,,21.418446080000002,388,,1228,,1596
,500.0,,620000,,,21.418446080000002,388,,1232,,1596
,500.0,,620000,,,21.418446080000002,388,,1236,,1596
,500.0,,620000,,,21.418446080000002,388,,1240,,1596
-7.111539840698242,500.0,4.172343730926514,630000,0.025661665946245193,0.0016383215552195907,23.193492429999996,388,31334,1244,0.00075,1622
,500.0,,630000,,,23.193492429999996,388,,1248,,1622
,500.0,,630000,,,23.193492429999996,388,,1252,,1622
,500.0,,630000,,,23.193492429999996,388,,1256,,1622
,500.0,,630000,,,23.193492429999996,388,,1260,,1622
-7.145855903625488,500.0,-8.73538875579834,640000,0.026085812598466873,0.0019300509011372924,28.992743559999997,388,31834,1264,0.00075,1647
,500.0,,640000,,,28.992743559999997,388,,1268,,1647
,500.0,,640000,,,28.992743559999997,388,,1272,,1647
,500.0,,640000,,,28.992743559999997,388,,1276,,1647
,500.0,,640000,,,28.992743559999997,388,,1280,,1647
-7.235308647155762,500.0,4.449665546417236,650000,0.024379514157772064,0.0018304820405319333,24.4957948,388,32334,1284,0.00075,1673
,500.0,,650000,,,24.4957948,388,,1288,,1673
,500.0,,650000,,,24.4957948,388,,1292,,1673
,500.0,,650000,,,24.4957948,388,,1296,,1673
,500.0,,650000,,,24.4957948,388,,1300,,1673
-6.832250595092773,500.0,-5.17611837387085,660000,0.03321070969104767,0.0018594524590298533,35.452169430000005,388,32834,1304,0.00075,1699
,500.0,,660000,,,35.452169430000005,388,,1308,,1699
,500.0,,660000,,,35.452169430000005,388,,1312,,1699
,500.0,,660000,,,35.452169430000005,388,,1316,,1699
,500.0,,660000,,,35.452169430000005,388,,1320,,1699
-6.980688571929932,500.0,9.780573844909668,670000,0.030279505997896194,0.0020521406549960375,45.86150371000001,388,33334,1324,0.00075,1724
,500.0,,670000,,,45.86150371000001,388,,1328,,1724
,500.0,,670000,,,45.86150371000001,388,,1332,,1724
,500.0,,670000,,,45.86150371000001,388,,1336,,1724
,500.0,,670000,,,45.86150371000001,388,,1340,,1724
-7.08591365814209,500.0,-2.6805222034454346,680000,0.04950805753469467,0.0020858917851001024,56.90856525,388,33834,1344,0.00075,1751
,500.0,,680000,,,56.90856525,388,,1348,,1751
,500.0,,680000,,,56.90856525,388,,1352,,1751
,500.0,,680000,,,56.90856525,388,,1356,,1751
,500.0,,680000,,,56.90856525,388,,1360,,1751
-7.194975852966309,500.0,5.919380187988281,690000,0.050817690789699554,0.002335152355954051,58.56045033000001,388,34334,1364,0.00075,1777
,500.0,,690000,,,58.56045033000001,388,,1368,,1777
,500.0,,690000,,,58.56045033000001,388,,1372,,1777
,500.0,,690000,,,58.56045033000001,388,,1376,,1777
,500.0,,690000,,,58.56045033000001,388,,1380,,1777
-6.665469169616699,500.0,-4.774738788604736,700000,0.33334338665008545,0.002374872798100114,76.93094120999999,388,34834,1384,0.00075,1802
,500.0,,700000,,,76.93094120999999,388,,1388,,1802
,500.0,,700000,,,76.93094120999999,388,,1392,,1802
,500.0,,700000,,,76.93094120999999,388,,1396,,1802
,500.0,,700000,,,76.93094120999999,388,,1400,,1802
-6.868318557739258,500.0,-0.3066904544830322,710000,0.06537546962499619,0.0026783915236592293,105.69095456000001,388,35334,1404,0.00075,1827
,500.0,,710000,,,105.69095456000001,388,,1408,,1827
,500.0,,710000,,,105.69095456000001,388,,1412,,1827
,500.0,,710000,,,105.69095456000001,388,,1416,,1827
,500.0,,710000,,,105.69095456000001,388,,1420,,1827
-6.667660236358643,500.0,-0.7178332805633545,720000,0.06221264973282814,0.0026718212757259607,97.55613937,388,35834,1424,0.00075,1853
,500.0,,720000,,,97.55613937,388,,1428,,1853
,500.0,,720000,,,97.55613937,388,,1432,,1853
,500.0,,720000,,,97.55613937,388,,1436,,1853
,500.0,,720000,,,97.55613937,388,,1440,,1853
-7.050042152404785,500.0,-2.258211135864258,730000,0.07321383059024811,0.002635346259921789,108.12460693999999,388,36334,1444,0.00075,1880
,500.0,,730000,,,108.12460693999999,388,,1448,,1880
,500.0,,730000,,,108.12460693999999,388,,1452,,1880
,500.0,,730000,,,108.12460693999999,388,,1456,,1880
,500.0,,730000,,,108.12460693999999,388,,1460,,1880
-8.555859565734863,500.0,10.506303787231445,740000,0.16333183646202087,0.0033950291108340025,112.14742675000001,388,36834,1464,0.00075,1905
,500.0,,740000,,,112.14742675000001,388,,1468,,1905
,500.0,,740000,,,112.14742675000001,388,,1472,,1905
,500.0,,740000,,,112.14742675000001,388,,1476,,1905
,500.0,,740000,,,112.14742675000001,388,,1480,,1905
-7.542692184448242,500.0,-10.98231315612793,750000,0.0420207604765892,0.003678808454424143,110.04871002999998,388,37334,1484,0.00075,1932
,500.0,,750000,,,110.04871002999998,388,,1488,,1932
,500.0,,750000,,,110.04871002999998,388,,1492,,1932
,500.0,,750000,,,110.04871002999998,388,,1496,,1932
,500.0,,750000,,,110.04871002999998,388,,1500,,1932
-8.078007698059082,500.0,-8.871116638183594,760000,0.0985301211476326,0.0035654737148433924,133.49153059999998,388,37834,1504,0.00075,1957
,500.0,,760000,,,133.49153059999998,388,,1508,,1957
,500.0,,760000,,,133.49153059999998,388,,1512,,1957
,500.0,,760000,,,133.49153059999998,388,,1516,,1957
,500.0,,760000,,,133.49153059999998,388,,1520,,1957
-8.502201080322266,500.0,-0.26325997710227966,770000,0.055559903383255005,0.0034061772748827934,156.97974920000001,387,38334,1524,0.00075,1984
,500.0,,770000,,,156.97974920000001,387,,1528,,1984
,500.0,,770000,,,156.97974920000001,387,,1532,,1984
,500.0,,770000,,,156.97974920000001,387,,1536,,1984
,500.0,,770000,,,156.97974920000001,387,,1540,,1984
-7.863302230834961,500.0,10.180590629577637,780000,0.19565966725349426,0.0037480208557099104,154.38677042999998,387,38834,1544,0.00075,2011
,500.0,,780000,,,154.38677042999998,387,,1548,,2011
,500.0,,780000,,,154.38677042999998,387,,1552,,2011
,500.0,,780000,,,154.38677042999998,387,,1556,,2011
,500.0,,780000,,,154.38677042999998,387,,1560,,2011
