train/critic_loss,time/episodes,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/fps,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,train/ent_coef,train/learning_rate
0.05291038006544113,204,500.0,5334,2.17314042,-21.194416046142578,312,110000,-41.28380584716797,352,0.01933060958981514,0.00075
,208,500.0,,2.17314042,,312,110000,,352,,
,212,500.0,,2.17314042,,312,110000,,352,,
,216,500.0,,2.17314042,,312,110000,,352,,
,220,500.0,,2.17314042,,312,110000,,352,,
0.041541844606399536,224,500.0,5834,2.4087283999999998,-20.56364631652832,312,120000,-21.301494598388672,384,0.013926052488386631,0.00075
,228,500.0,,2.4087283999999998,,312,120000,,384,,
,232,500.0,,2.4087283999999998,,312,120000,,384,,
,236,500.0,,2.4087283999999998,,312,120000,,384,,
,240,500.0,,2.4087283999999998,,312,120000,,384,,
0.045533932745456696,244,500.0,6334,2.1767241,-20.09345245361328,312,130000,-40.58617401123047,416,0.010192016139626503,0.00075
,248,500.0,,2.1767241,,312,130000,,416,,
,252,500.0,,2.1767241,,312,130000,,416,,
,256,500.0,,2.1767241,,312,130000,,416,,
,260,500.0,,2.1767241,,312,130000,,416,,
2.655573844909668,264,500.0,6834,2.45618393,-19.312664031982422,311,140000,-27.493404388427734,449,0.007804319728165865,0.00075
,268,500.0,,2.45618393,,311,140000,,449,,
,272,500.0,,2.45618393,,311,140000,,449,,
,276,500.0,,2.45618393,,311,140000,,449,,
,280,500.0,,2.45618393,,311,140000,,449,,
0.044425081461668015,284,500.0,7334,2.4929778799999998,-18.69144630432129,310,150000,-22.74945068359375,482,0.006199141498655081,0.00075
,288,500.0,,2.4929778799999998,,310,150000,,482,,
,292,500.0,,2.4929778799999998,,310,150000,,482,,
,296,500.0,,2.4929778799999998,,310,150000,,482,,
,300,500.0,,2.4929778799999998,,310,150000,,482,,
1.3744215965270996,304,500.0,7834,1.91820231,-18.008960723876953,310,160000,-20.434715270996094,515,0.005033540539443493,0.00075
,308,500.0,,1.91820231,,310,160000,,515,,
,312,500.0,,1.91820231,,310,160000,,515,,
,316,500.0,,1.91820231,,310,160000,,515,,
,320,500.0,,1.91820231,,310,160000,,515,,
2.779803991317749,324,500.0,8334,1.9310706900000003,-17.831314086914062,309,170000,0.4247283935546875,548,0.004301889333873987,0.00075
,328,500.0,,1.9310706900000003,,309,170000,,548,,
,332,500.0,,1.9310706900000003,,309,170000,,548,,
,336,500.0,,1.9310706900000003,,309,170000,,548,,
,340,500.0,,1.9310706900000003,,309,170000,,548,,
0.02943788655102253,344,500.0,8834,2.0418502399999996,-17.49831771850586,308,180000,-19.74439239501953,583,0.0039315237663686275,0.00075
,348,500.0,,2.0418502399999996,,308,180000,,583,,
,352,500.0,,2.0418502399999996,,308,180000,,583,,
,356,500.0,,2.0418502399999996,,308,180000,,583,,
,360,500.0,,2.0418502399999996,,308,180000,,583,,
