time/fps,train/n_updates,time/time_elapsed,time/total_timesteps,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,train/critic_loss,train/learning_rate
222,27264,1731,385000,0.001021828269585967,-7.6797285079956055,0.0,500.0,-17.86893081665039,760,0.8949836492538452,0.00075
222,,1731,385000,,,0.0,500.0,,770,,
222,27764,1763,392000,0.0009771358454599977,-7.516373634338379,0.0,500.0,1.8523197174072266,780,0.4449034035205841,0.00075
222,28264,1794,399000,0.001093628234229982,-7.428210258483887,0.0,500.0,4.407513618469238,790,0.22027458250522614,0.00075
222,28764,1825,406000,0.0010921440552920103,-7.175698757171631,0.0,500.0,0.4950258731842041,800,0.497603178024292,0.00075
222,,1825,406000,,,0.0,500.0,,810,,
222,29264,1856,413000,0.0010419716127216816,-6.899829864501953,0.0,500.0,-3.557766914367676,820,0.5774099826812744,0.00075
222,29764,1888,420000,0.0010360600426793098,-6.770063400268555,0.0,500.0,-10.691267013549805,830,0.004057911224663258,0.00075
222,,1888,420000,,,0.0,500.0,,840,,
222,30264,1920,427000,0.0009164682123810053,-6.585639953613281,0.0,500.0,8.924491882324219,850,0.005046030506491661,0.00075
222,30764,1952,434000,0.000910862407181412,-6.465821743011475,1.82,500.0,4.7580389976501465,860,0.02168152667582035,0.00075
222,31264,1983,441000,0.0009140747715719044,-6.426095962524414,1.82,500.0,5.839705467224121,870,0.0022941031493246555,0.00075
222,,1983,441000,,,1.82,500.0,,880,,
222,31764,2015,448000,0.0009673913009464741,-6.215306282043457,1.82,500.0,7.637744903564453,890,0.0037232302129268646,0.00075
222,32264,2046,455000,0.0009688158752396703,-6.145434856414795,1.82,500.0,-7.703053951263428,900,0.295049250125885,0.00075
222,,2046,455000,,,1.82,500.0,,910,,
222,32764,2078,462000,0.0008637206628918648,-5.881192207336426,1.82,500.0,-6.242748737335205,920,0.003102506510913372,0.00075
222,33264,2111,469000,0.0008995117386803031,-5.721940994262695,1.82,500.0,12.912176132202148,930,0.017770007252693176,0.00075
222,33764,2143,476000,0.000830203527584672,-5.752938270568848,1.82,500.0,-9.092187881469727,940,0.005282201804220676,0.00075
222,,2143,476000,,,1.82,500.0,,950,,
222,34264,2175,483000,0.0008272200939245522,-5.577121734619141,1.82,500.0,-1.5497534275054932,960,0.009917601943016052,0.00075
221,34764,2208,490000,0.0007877615862526,-5.252391815185547,0.0,500.0,-6.7602739334106445,970,0.0055360556580126286,0.00075
221,,2208,490000,,,0.0,500.0,,980,,
221,35264,2241,497000,0.00069624517345801,-5.173788070678711,0.0,500.0,-1.8491159677505493,990,0.002536938525736332,0.00075
221,35764,2273,504000,0.0006642904481850564,-5.09672212600708,0.0,500.0,4.040108680725098,1000,0.13088998198509216,0.00075
221,36264,2305,511000,0.0006659599603153765,-5.017888069152832,0.0,500.0,-4.66326379776001,1010,0.0023269071243703365,0.00075
221,,2305,511000,,,0.0,500.0,,1020,,
221,36764,2337,518000,0.0007090202416293323,-4.785020351409912,0.0,500.0,-8.485528945922852,1030,0.18751123547554016,0.00075
221,37264,2370,525000,0.0006805840530432761,-4.77666711807251,0.63,500.0,-0.7648001909255981,1040,0.01683868281543255,0.00075
221,,2370,525000,,,0.63,500.0,,1050,,
221,37764,2401,532000,0.0006249654106795788,-4.5410566329956055,0.63,500.0,3.247777223587036,1060,0.048335231840610504,0.00075
221,38264,2432,539000,0.000624012784101069,-4.418499946594238,0.63,500.0,0.16885650157928467,1070,0.13719671964645386,0.00075
221,38764,2464,546000,0.0007277086260728538,-4.339890480041504,0.63,500.0,-0.16435575485229492,1080,0.0013910261914134026,0.00075
221,,2464,546000,,,0.63,500.0,,1090,,
221,39264,2495,553000,0.0006246201228350401,-4.358989715576172,0.63,500.0,-5.39714241027832,1100,0.0017186845652759075,0.00075
221,39764,2526,560000,0.0006052207318134606,-4.159390926361084,0.63,500.0,2.5242557525634766,1110,0.17035222053527832,0.00075
221,,2526,560000,,,0.63,500.0,,1120,,
221,40264,2557,567000,0.0006331031327135861,-4.084700584411621,0.63,500.0,-14.75087833404541,1130,0.0036372202448546886,0.00075
221,40764,2588,574000,0.0005418462096713483,-4.054009437561035,0.63,500.0,-1.9934462308883667,1140,0.040047865360975266,0.00075
221,41264,2620,581000,0.0005829597357660532,-3.9044628143310547,0.0,500.0,-1.8944975137710571,1150,0.0023942876141518354,0.00075
221,,2620,581000,,,0.0,500.0,,1160,,
221,41764,2653,588000,0.0005609876243397593,-3.844557285308838,0.0,500.0,-3.1744022369384766,1170,0.0010504807578399777,0.00075
221,42264,2684,595000,0.000506564334500581,-3.7436840534210205,0.0,500.0,0.7443512678146362,1180,0.0076087117195129395,0.00075
221,,2684,595000,,,0.0,500.0,,1190,,
221,42764,2716,602000,0.0005502903368324041,-3.6113393306732178,0.0,500.0,-0.07207930088043213,1200,0.0036817104555666447,0.00075
221,43264,2748,609000,0.000539104628842324,-3.5805447101593018,0.0,500.0,-0.3319716453552246,1210,0.001050829072482884,0.00075
221,43764,2780,616000,0.0004999827942810953,-3.426527261734009,0.0,500.0,2.672139883041382,1220,0.002377040684223175,0.00075
221,,2780,616000,,,0.0,500.0,,1230,,
221,44264,2812,623000,0.0005853663897141814,-3.3753533363342285,0.0,500.0,0.7171810865402222,1240,0.001809063833206892,0.00075
221,44764,2844,630000,0.0005214381380937994,-3.272609233856201,0.0,500.0,2.7783637046813965,1250,0.0013972909655421972,0.00075
221,,2844,630000,,,0.0,500.0,,1260,,
221,45264,2878,637000,0.00045468370080925524,-3.281339168548584,0.0,500.0,-5.5053815841674805,1270,0.051541782915592194,0.00075
221,45764,2913,644000,0.000524909992236644,-3.080530881881714,0.0,500.0,3.2916994094848633,1280,0.0016783581813797355,0.00075
220,46264,2948,651000,0.0004120808152947575,-3.0375518798828125,0.0,500.0,-0.7777721285820007,1290,0.0011965251760557294,0.00075
