train/actor_loss,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/learning_rate,time/fps,train/ent_coef_loss,time/time_elapsed,train/n_updates,time/episodes,time/total_timesteps,rollout/ep_len_mean
-6.207790851593018,27.342823519999996,0.0017277690349146724,0.08685930073261261,0.00075,217,4.987481594085693,2667,41264,1150,581000,500.0
,27.342823519999996,,,,217,,2667,,1160,581000,500.0
-5.704394340515137,29.552097749999998,0.0016807334031909704,0.027354057878255844,0.00075,217,9.586313247680664,2699,41764,1170,588000,500.0
-5.680969715118408,23.012696620000007,0.001833297312259674,0.14909471571445465,0.00075,217,1.53810715675354,2731,42264,1180,595000,500.0
,23.012696620000007,,,,217,,2731,,1190,595000,500.0
-5.682615756988525,18.37334419,0.0018500096630305052,0.04580087587237358,0.00075,217,-1.895209550857544,2762,42764,1200,602000,500.0
-6.118338108062744,18.57695166,0.0018933702958747745,0.08390220999717712,0.00075,217,-3.9781484603881836,2794,43264,1210,609000,500.0
-5.665146827697754,20.87528055,0.002114370698109269,0.05158468708395958,0.00075,217,5.191807270050049,2827,43764,1220,616000,500.0
,20.87528055,,,,217,,2827,,1230,616000,500.0
-6.238348484039307,26.966081490000008,0.002086515538394451,0.07537031173706055,0.00075,217,-1.5921727418899536,2861,44264,1240,623000,500.0
-6.592307090759277,30.19067692,0.002267953008413315,0.6189223527908325,0.00075,217,0.2330489158630371,2895,44764,1250,630000,500.0
,30.19067692,,,,217,,2895,,1260,630000,500.0
-6.044976234436035,30.663074549999997,0.002321125939488411,0.1074327677488327,0.00075,217,3.073967933654785,2929,45264,1270,637000,500.0
-6.428011417388916,30.56315749,0.002328765345737338,0.0294704157859087,0.00075,217,-0.2379990816116333,2962,45764,1280,644000,500.0
-6.576598644256592,38.09539561,0.0024073889944702387,0.06464430689811707,0.00075,217,-4.3254594802856445,2995,46264,1290,651000,500.0
,38.09539561,,,,217,,2995,,1300,651000,500.0
-6.825940132141113,46.90004872999999,0.0025314781814813614,0.5854368805885315,0.00075,217,2.170668601989746,3028,46764,1310,658000,500.0
-6.792398452758789,51.21235914999999,0.0023517778608947992,0.06769479066133499,0.00075,217,1.410439133644104,3061,47264,1320,665000,500.0
,51.21235914999999,,,,217,,3061,,1330,665000,500.0
-7.004777908325195,55.65575665,0.0025165530387312174,0.04580850154161453,0.00075,217,-1.3016448020935059,3093,47764,1340,672000,500.0
-7.5504255294799805,62.242442010000005,0.0022902616765350103,0.04422767087817192,0.00075,217,1.2570780515670776,3125,48264,1350,679000,500.0
-7.922143459320068,70.2875327,0.0026199636049568653,0.03367386758327484,0.00075,217,5.8300275802612305,3158,48764,1360,686000,500.0
,70.2875327,,,,217,,3158,,1370,686000,500.0
-8.260547637939453,83.90629381999999,0.002657164353877306,0.07399882376194,0.00075,217,1.7260639667510986,3190,49264,1380,693000,500.0
-7.733922958374023,87.88763416000002,0.0025034795980900526,0.0678529217839241,0.00075,217,2.2846198081970215,3223,49764,1390,700000,500.0
,87.88763416000002,,,,217,,3223,,1400,700000,500.0
-6.724745750427246,82.96537337000001,0.002644897438585758,0.05413781851530075,0.00075,217,-6.7752861976623535,3255,50264,1410,707000,500.0
-7.865710735321045,82.04592797000001,0.002762704389169812,0.0819389596581459,0.00075,217,-1.1671768426895142,3287,50764,1420,714000,500.0
-7.026457786560059,82.17408415,0.00269695813767612,0.06364300847053528,0.00075,217,-5.797101974487305,3320,51264,1430,721000,500.0
,82.17408415,,,,217,,3320,,1440,721000,500.0
