train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,train/learning_rate,rollout/ep_rew_mean,train/ent_coef,train/actor_loss,time/time_elapsed,train/critic_loss,time/total_timesteps,time/episodes,time/fps
4.904872894287109,500.0,15764,0.00075,0.0,0.0019506390672177076,-12.94088363647461,1004,0.017353549599647522,224000,440,223
0.590805172920227,500.0,16264,0.00075,0.0,0.0021168231032788754,-12.29797077178955,1035,0.027876369655132294,231000,450,223
,500.0,,,0.0,,,1035,,231000,460,223
-1.3465428352355957,500.0,16764,0.00075,0.0,0.001939574838615954,-12.271982192993164,1067,0.010143300518393517,238000,470,223
-5.020135402679443,500.0,17264,0.00075,0.0,0.0019637804944068193,-11.869842529296875,1098,1.099449634552002,245000,480,223
,500.0,,,0.0,,,1098,,245000,490,223
-8.48108959197998,500.0,17764,0.00075,0.0,0.0020078152883797884,-11.955635070800781,1129,0.014188293367624283,252000,500,223
6.083845138549805,500.0,18264,0.00075,0.0,0.0019176026107743382,-11.550851821899414,1161,1.0381476879119873,259000,510,223
-6.862222194671631,500.0,18764,0.00075,0.0,0.001835440518334508,-11.267955780029297,1192,0.022256627678871155,266000,520,223
,500.0,,,0.0,,,1192,,266000,530,223
-2.819537878036499,500.0,19264,0.00075,0.0,0.0016425016801804304,-11.313079833984375,1224,0.007667511701583862,273000,540,222
9.858382225036621,500.0,19764,0.00075,0.0,0.0016824998892843723,-10.852823257446289,1256,0.009467866271734238,280000,550,222
,500.0,,,0.0,,,1256,,280000,560,222
-7.8274970054626465,500.0,20264,0.00075,0.0,0.0017189343925565481,-10.365665435791016,1287,0.01633039489388466,287000,570,222
-5.139327049255371,500.0,20764,0.00075,0.0,0.0018139072926715016,-10.141613006591797,1319,0.03444767743349075,294000,580,222
-3.1278576850891113,500.0,21264,0.00075,0.0,0.0016470450209453702,-9.976572036743164,1350,1.0530295372009277,301000,590,222
,500.0,,,0.0,,,1350,,301000,600,222
-3.8954076766967773,500.0,21764,0.00075,0.0,0.0018223521765321493,-9.964508056640625,1381,0.012064194306731224,308000,610,223
-5.850701332092285,500.0,22264,0.00075,0.0,0.0016818614676594734,-9.727090835571289,1411,0.011484178714454174,315000,620,223
,500.0,,,0.0,,,1411,,315000,630,223
-6.69321346282959,500.0,22764,0.00075,0.0,0.001658327761106193,-9.458179473876953,1442,0.015530582517385483,322000,640,223
-9.664945602416992,500.0,23264,0.00075,0.0,0.001626867800951004,-9.479506492614746,1473,0.016206130385398865,329000,650,223
-6.569314479827881,500.0,23764,0.00075,0.0,0.0015139301540330052,-9.317338943481445,1504,0.01635105162858963,336000,660,223
,500.0,,,0.0,,,1504,,336000,670,223
-4.312990665435791,500.0,24264,0.00075,0.0,0.0015580679755657911,-8.829197883605957,1536,0.00935984868556261,343000,680,223
-8.035747528076172,500.0,24764,0.00075,0.0,0.0014056506333872676,-8.944986343383789,1568,0.6650456190109253,350000,690,223
,500.0,,,0.0,,,1568,,350000,700,223
-1.0735163688659668,500.0,25264,0.00075,0.0,0.001335859065875411,-8.854841232299805,1600,0.009804647415876389,357000,710,223
8.661985397338867,500.0,25764,0.00075,0.0,0.0013605704298242927,-8.4338960647583,1631,0.004892212338745594,364000,720,223
-7.781086444854736,500.0,26264,0.00075,0.0,0.00134418869856745,-8.214399337768555,1663,0.5897462368011475,371000,730,223
,500.0,,,0.0,,,1663,,371000,740,223
2.8480875492095947,500.0,26764,0.00075,0.0,0.0013388491934165359,-8.088018417358398,1695,0.006488998420536518,378000,750,222
-1.2163845300674438,500.0,27264,0.00075,0.0,0.0012587638339027762,-7.9252424240112305,1726,0.007149985060095787,385000,760,222
,500.0,,,0.0,,,1726,,385000,770,222
1.4245517253875732,500.0,27764,0.00075,0.0,0.0012633108999580145,-7.777845859527588,1758,0.005182247143238783,392000,780,222
