train/actor_loss,time/total_timesteps,time/fps,train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/learning_rate,time/time_elapsed,train/ent_coef_loss,time/episodes,train/ent_coef
-8.656970977783203,343000,219,0.3979184627532959,0.0,500.0,24264,0.00075,1561,0.39356040954589844,680,0.0016191179165616632
-8.617716789245605,350000,219,0.014059126377105713,0.0,500.0,24764,0.00075,1594,-0.5924748778343201,690,0.0014464645646512508
,350000,219,,0.0,500.0,,,1594,,700,
-8.601526260375977,357000,219,0.007538611069321632,0.0,500.0,25264,0.00075,1624,-3.8301432132720947,710,0.0013526978436857462
-8.366400718688965,364000,219,0.008645972236990929,0.0,500.0,25764,0.00075,1656,3.323610782623291,720,0.0013022050261497498
-8.295989036560059,371000,219,0.007573109585791826,1.8,500.0,26264,0.00075,1688,-4.540180206298828,730,0.0011927320156246424
,371000,219,,1.8,500.0,,,1688,,740,
-8.026716232299805,378000,219,0.009193673729896545,1.8,500.0,26764,0.00075,1720,-4.184001922607422,750,0.0012417328543961048
-7.827633857727051,385000,219,0.5122009515762329,1.8,500.0,27264,0.00075,1751,-14.975959777832031,760,0.0011649559019133449
,385000,219,,1.8,500.0,,,1751,,770,
-7.568215847015381,392000,219,0.302718847990036,1.8,500.0,27764,0.00075,1784,2.634173631668091,780,0.001207958091981709
-7.2916717529296875,399000,219,0.012111412361264229,1.8,500.0,28264,0.00075,1815,2.4070777893066406,790,0.0011151880025863647
-7.2826128005981445,406000,219,0.40002426505088806,1.8,500.0,28764,0.00075,1848,0.8553293943405151,800,0.0010784807382151484
,406000,219,,1.8,500.0,,,1848,,810,
-7.220022201538086,413000,219,0.023606950417160988,1.8,500.0,29264,0.00075,1881,-6.895254611968994,820,0.00109912792686373
-6.9383344650268555,420000,219,0.014156453311443329,1.8,500.0,29764,0.00075,1912,-6.250484943389893,830,0.001106053707189858
,420000,219,,1.8,500.0,,,1912,,840,
-6.800169467926025,427000,219,0.004452277906239033,0.0,500.0,30264,0.00075,1945,-3.629865884780884,850,0.001076602260582149
-6.883274078369141,434000,219,0.017318593338131905,0.0,500.0,30764,0.00075,1976,-4.873901844024658,860,0.0010391677496954799
-6.666294574737549,441000,219,0.005946073215454817,0.0,500.0,31264,0.00075,2009,3.602853536605835,870,0.0008564871968701482
,441000,219,,0.0,500.0,,,2009,,880,
-6.554933071136475,448000,219,0.0054922327399253845,0.0,500.0,31764,0.00075,2042,4.755898475646973,890,0.0008502366254106164
-6.219134330749512,455000,219,0.0062806811183691025,0.0,500.0,32264,0.00075,2074,1.90067720413208,900,0.0009175359737128019
,455000,219,,0.0,500.0,,,2074,,910,
-6.039426803588867,462000,219,0.004616680089384317,0.0,500.0,32764,0.00075,2106,-2.1179261207580566,920,0.0008601362933404744
-6.073831558227539,469000,219,0.0038966196589171886,0.0,500.0,33264,0.00075,2137,0.051651954650878906,930,0.0008540232083760202
-5.967146873474121,476000,219,0.003308628685772419,0.0,500.0,33764,0.00075,2169,-10.82293701171875,940,0.0007969117723405361
,476000,219,,0.0,500.0,,,2169,,950,
-5.725001335144043,483000,219,0.008020222187042236,0.0,500.0,34264,0.00075,2200,5.880377292633057,960,0.0007748476346023381
-5.6195759773254395,490000,219,0.005162127315998077,0.0,500.0,34764,0.00075,2231,15.880348205566406,970,0.000824415241368115
,490000,219,,0.0,500.0,,,2231,,980,
-5.601444244384766,497000,219,0.009778075851500034,0.0,500.0,35264,0.00075,2263,-4.688800811767578,990,0.0007791602401994169
-5.432537078857422,504000,219,0.0022646677680313587,0.0,500.0,35764,0.00075,2294,-6.303399562835693,1000,0.0007737060659565032
-5.347572326660156,511000,219,0.007485209032893181,0.0,500.0,36264,0.00075,2328,12.251718521118164,1010,0.0006686301785521209
,511000,219,,0.0,500.0,,,2328,,1020,
-5.060244083404541,518000,219,0.0029128422029316425,0.0,500.0,36764,0.00075,2360,10.106073379516602,1030,0.0006847915938124061
-5.084151744842529,525000,219,0.0025689424946904182,0.0,500.0,37264,0.00075,2393,-5.925351619720459,1040,0.0007671602070331573
,525000,219,,0.0,500.0,,,2393,,1050,
-5.083624362945557,532000,219,0.0025394768454134464,0.0,500.0,37764,0.00075,2424,-3.1782422065734863,1060,0.0006630761199630797
-4.917210578918457,539000,219,0.10353170335292816,0.0,500.0,38264,0.00075,2455,-3.2999465465545654,1070,0.0007114227046258748
-4.7741522789001465,546000,219,0.018465451896190643,0.0,500.0,38764,0.00075,2487,2.6917083263397217,1080,0.0007242645951919258
,546000,219,,0.0,500.0,,,2487,,1090,
-4.7441558837890625,553000,219,0.20152541995048523,0.0,500.0,39264,0.00075,2518,4.194342136383057,1100,0.0007057978655211627
-4.5444793701171875,560000,219,0.003303439822047949,0.0,500.0,39764,0.00075,2549,4.237631797790527,1110,0.0007196423248387873
,560000,219,,0.0,500.0,,,2549,,1120,
-4.496591567993164,567000,219,0.0019275792874395847,0.0,500.0,40264,0.00075,2580,-0.23921740055084229,1130,0.0006840758724138141
-4.316853046417236,574000,219,0.003776001278311014,0.0,500.0,40764,0.00075,2612,-0.06567895412445068,1140,0.0006627714028581977
-4.273070335388184,581000,219,0.0022947913967072964,0.0,500.0,41264,0.00075,2644,8.703824996948242,1150,0.0006071993266232312
,581000,219,,0.0,500.0,,,2644,,1160,
-4.087437629699707,588000,219,0.11499078571796417,0.0,500.0,41764,0.00075,2676,10.293050765991211,1170,0.0007223744760267437
-4.073370456695557,595000,219,0.0023342142812907696,0.0,500.0,42264,0.00075,2708,0.4083259105682373,1180,0.0006469394429586828
,595000,219,,0.0,500.0,,,2708,,1190,
-3.875981330871582,602000,219,0.0016457069432362914,0.0,500.0,42764,0.00075,2739,0.13113117218017578,1200,0.0006102494080550969
-4.038449287414551,609000,219,0.0026915878988802433,0.0,500.0,43264,0.00075,2771,1.8593847751617432,1210,0.0005816347547806799
-3.7809391021728516,616000,219,0.004706977400928736,0.0,500.0,43764,0.00075,2804,3.541868209838867,1220,0.000573614495806396
,616000,219,,0.0,500.0,,,2804,,1230,
-3.7777836322784424,623000,219,0.2214621901512146,0.0,500.0,44264,0.00075,2837,-2.3982744216918945,1240,0.0005711314151994884
-3.708045244216919,630000,219,0.12188466638326645,0.0,500.0,44764,0.00075,2869,-6.111905097961426,1250,0.0005559235578402877
,630000,219,,0.0,500.0,,,2869,,1260,
-3.604811668395996,637000,219,0.004490451887249947,0.0,500.0,45264,0.00075,2900,10.157954216003418,1270,0.0005299474578350782
-3.4732959270477295,644000,219,0.002303285524249077,0.0,500.0,45764,0.00075,2933,2.404697895050049,1280,0.0005745762027800083
-3.624638557434082,651000,219,0.0022548988927155733,0.0,500.0,46264,0.00075,2965,-5.893266201019287,1290,0.0005322329234331846
,651000,219,,0.0,500.0,,,2965,,1300,
-3.357419967651367,658000,219,0.007339819334447384,0.0,500.0,46764,0.00075,2998,-3.3241591453552246,1310,0.0005540641723200679
-3.2801620960235596,665000,219,0.0862610936164856,0.0,500.0,47264,0.00075,3029,-1.531961441040039,1320,0.0005891987239010632
,665000,219,,0.0,500.0,,,3029,,1330,
-3.1609420776367188,672000,219,0.0014576292596757412,0.0,500.0,47764,0.00075,3061,-6.429821014404297,1340,0.0005289320833981037
-3.0274338722229004,679000,219,0.003166362177580595,0.0,500.0,48264,0.00075,3092,-4.022866249084473,1350,0.0005435596103779972
-3.052145004272461,686000,219,0.002275058999657631,0.0,500.0,48764,0.00075,3123,3.3553943634033203,1360,0.000553073245100677
,686000,219,,0.0,500.0,,,3123,,1370,
-3.2486443519592285,693000,219,0.002291332697495818,0.0,500.0,49264,0.00075,3156,-4.59168815612793,1380,0.0005756185273639858
-3.2122561931610107,700000,219,0.004031388089060783,0.0,500.0,49764,0.00075,3188,-5.4102888107299805,1390,0.0005510455230250955
,700000,219,,0.0,500.0,,,3188,,1400,
-3.174286365509033,707000,219,0.00262276129797101,0.0,500.0,50264,0.00075,3221,-0.1693727970123291,1410,0.0005434979102574289
-3.373119831085205,714000,219,0.01894652470946312,0.0,500.0,50764,0.00075,3253,-2.692783832550049,1420,0.0005467426381073892
-3.1996359825134277,721000,219,0.09203000366687775,0.0,500.0,51264,0.00075,3286,12.716928482055664,1430,0.0005783999222330749
,721000,219,,0.0,500.0,,,3286,,1440,
-2.996540069580078,728000,219,0.011111771687865257,0.0,500.0,51764,0.00075,3317,3.2447335720062256,1450,0.0005625992198474705
