rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,time/episodes,time/total_timesteps,train/ent_coef_loss,train/actor_loss,time/fps,train/learning_rate,time/time_elapsed
500.0,8264,2.30102172,0.004624093882739544,0.038512494415044785,230,119000,0.6044895648956299,-18.584609985351562,217,0.00075,546
500.0,8764,2.7946038699999995,0.004256976302713156,0.020854171365499496,240,126000,-11.15219497680664,-18.388751983642578,217,0.00075,579
500.0,,2.7946038699999995,,,250,126000,,,217,,579
500.0,9264,3.51815471,0.003905566642060876,0.03460606187582016,260,133000,-16.03900909423828,-17.791723251342773,216,0.00075,613
500.0,9764,3.4844585699999997,0.0036604474298655987,0.02021058276295662,270,140000,-0.9704326391220093,-16.698711395263672,216,0.00075,646
500.0,,3.4844585699999997,,,280,140000,,,216,,646
500.0,10264,3.7601924899999997,0.003622531658038497,0.05989931523799896,290,147000,2.024545192718506,-16.46843719482422,216,0.00075,678
500.0,10764,3.7608877,0.0035777902230620384,0.02296893671154976,300,154000,4.261234283447266,-16.233917236328125,215,0.00075,712
500.0,11264,3.38533049,0.0036949312780052423,0.02458515577018261,310,161000,-3.4813222885131836,-16.149845123291016,215,0.00075,746
500.0,,3.38533049,,,320,161000,,,215,,746
500.0,11764,2.80851619,0.0032572918571531773,1.4089592695236206,330,168000,2.1481399536132812,-15.254104614257812,215,0.00075,780
500.0,12264,2.32984457,0.0033706333488225937,1.8230851888656616,340,175000,-10.35729694366455,-15.437664985656738,214,0.00075,814
500.0,,2.32984457,,,350,175000,,,214,,814
500.0,12764,1.9949674299999998,0.00297976634465158,0.021388225257396698,360,182000,8.30331039428711,-14.967791557312012,214,0.00075,847
500.0,13264,1.7269947699999995,0.0029740771278738976,0.05906287580728531,370,189000,-3.2826523780822754,-14.762362480163574,214,0.00075,879
500.0,13764,1.4992462500000001,0.002737476723268628,0.0720234140753746,380,196000,17.168127059936523,-14.683783531188965,214,0.00075,911
500.0,,1.4992462500000001,,,390,196000,,,214,,911
500.0,14264,1.7325518400000002,0.0027640797197818756,1.48589026927948,400,203000,0.006793022155761719,-13.78140640258789,215,0.00075,942
500.0,14764,1.8251283799999998,0.00254757865332067,1.2117629051208496,410,210000,-12.543435096740723,-13.83012580871582,215,0.00075,974
500.0,,1.8251283799999998,,,420,210000,,,215,,974
500.0,15264,1.9953065299999995,0.0026711600366979837,0.03023635409772396,430,217000,-8.565725326538086,-13.448517799377441,215,0.00075,1005
500.0,15764,1.83686485,0.002407617634162307,0.042000140994787216,440,224000,-1.1496920585632324,-13.259428977966309,215,0.00075,1037
500.0,16264,1.74324451,0.0024073775857686996,0.05704584717750549,450,231000,-4.177515506744385,-12.956326484680176,215,0.00075,1070
500.0,,1.74324451,,,460,231000,,,215,,1070
500.0,16764,5.02801619,0.002467901911586523,0.01689908653497696,470,238000,7.607330322265625,-12.992008209228516,216,0.00075,1101
500.0,17264,5.11933593,0.0025358551647514105,1.133080244064331,480,245000,1.1585392951965332,-12.491848945617676,216,0.00075,1133
500.0,,5.11933593,,,490,245000,,,216,,1133
500.0,17764,4.902522019999999,0.0025918439496308565,0.011096317321062088,500,252000,0.709246039390564,-12.272753715515137,216,0.00075,1164
500.0,18264,4.993565219999999,0.002366400323808193,1.0054126977920532,510,259000,-13.035395622253418,-11.829971313476562,216,0.00075,1195
500.0,18764,4.835651229999999,0.0022370126098394394,0.009532607160508633,520,266000,16.626081466674805,-11.592175483703613,216,0.00075,1228
500.0,,4.835651229999999,,,530,266000,,,216,,1228
500.0,19264,4.994965099999998,0.0023063067346811295,0.02185991406440735,540,273000,-1.9771090745925903,-11.495857238769531,216,0.00075,1260
500.0,19764,4.84333864,0.0023156525567173958,0.37365853786468506,550,280000,-2.103442430496216,-10.845222473144531,216,0.00075,1291
500.0,,4.84333864,,,560,280000,,,216,,1291
500.0,20264,1.65638647,0.002349185524508357,0.9506185054779053,570,287000,1.661402702331543,-10.705816268920898,216,0.00075,1323
