time/episodes,time/fps,train/critic_loss,train/n_updates,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/ent_coef_loss,train/actor_loss,time/total_timesteps
260,403,,,,7.856487059999999,,500.0,322,,,130000
264,402,0.06842746585607529,6834,0.129067525267601,7.8181207499999985,0.0003,500.0,347,-23.7526798248291,-49.560020446777344,140000
268,402,,,,7.8181207499999985,,500.0,347,,,140000
272,402,,,,7.8181207499999985,,500.0,347,,,140000
276,402,,,,7.8181207499999985,,500.0,347,,,140000
280,402,,,,7.8181207499999985,,500.0,347,,,140000
284,402,0.27054423093795776,7334,0.11125785112380981,5.69496122,0.0003,500.0,372,-24.207706451416016,-49.17475128173828,150000
288,402,,,,5.69496122,,500.0,372,,,150000
292,402,,,,5.69496122,,500.0,372,,,150000
296,402,,,,5.69496122,,500.0,372,,,150000
300,402,,,,5.69496122,,500.0,372,,,150000
304,401,0.03335380554199219,7834,0.09584388136863708,5.58063141,0.0003,500.0,398,-27.174053192138672,-49.40611267089844,160000
308,401,,,,5.58063141,,500.0,398,,,160000
312,401,,,,5.58063141,,500.0,398,,,160000
316,401,,,,5.58063141,,500.0,398,,,160000
320,401,,,,5.58063141,,500.0,398,,,160000
324,400,0.052031148225069046,8334,0.08268189430236816,4.944767919999999,0.0003,500.0,424,-28.521099090576172,-48.09726333618164,170000
328,400,,,,4.944767919999999,,500.0,424,,,170000
332,400,,,,4.944767919999999,,500.0,424,,,170000
336,400,,,,4.944767919999999,,500.0,424,,,170000
340,400,,,,4.944767919999999,,500.0,424,,,170000
344,400,0.041802793741226196,8834,0.07145781069993973,5.467642809999998,0.0003,500.0,449,-29.593658447265625,-48.08070373535156,180000
348,400,,,,5.467642809999998,,500.0,449,,,180000
352,400,,,,5.467642809999998,,500.0,449,,,180000
356,400,,,,5.467642809999998,,500.0,449,,,180000
360,400,,,,5.467642809999998,,500.0,449,,,180000
