train/n_updates,time/fps,train/ent_coef,train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/critic_loss,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss
25834,309,0.0016216608928516507,0.00075,520000,1024,500.0,5.315946102142334,0.019707269966602325,21.330790609999994,1682,-8.800980567932129
,309,,,520000,1028,500.0,,,21.330790609999994,1682,
,309,,,520000,1032,500.0,,,21.330790609999994,1682,
,309,,,520000,1036,500.0,,,21.330790609999994,1682,
,309,,,520000,1040,500.0,,,21.330790609999994,1682,
26334,309,0.0019043361535295844,0.00075,530000,1044,500.0,8.140621185302734,0.009558680467307568,33.42919162,1714,-8.59913444519043
,309,,,530000,1048,500.0,,,33.42919162,1714,
,309,,,530000,1052,500.0,,,33.42919162,1714,
,309,,,530000,1056,500.0,,,33.42919162,1714,
,309,,,530000,1060,500.0,,,33.42919162,1714,
26834,309,0.001971585676074028,0.00075,540000,1064,500.0,-0.03478890657424927,0.008013864047825336,40.67855431,1747,-8.497121810913086
,309,,,540000,1068,500.0,,,40.67855431,1747,
,309,,,540000,1072,500.0,,,40.67855431,1747,
,309,,,540000,1076,500.0,,,40.67855431,1747,
,309,,,540000,1080,500.0,,,40.67855431,1747,
27334,309,0.0017191205406561494,0.00075,550000,1084,500.0,-9.433364868164062,0.021260254085063934,42.79431974999999,1779,-8.560769081115723
,309,,,550000,1088,500.0,,,42.79431974999999,1779,
,309,,,550000,1092,500.0,,,42.79431974999999,1779,
,309,,,550000,1096,500.0,,,42.79431974999999,1779,
,309,,,550000,1100,500.0,,,42.79431974999999,1779,
27834,309,0.0017848208080977201,0.00075,560000,1104,500.0,2.0655159950256348,0.02178877592086792,39.81981057,1811,-8.269113540649414
,309,,,560000,1108,500.0,,,39.81981057,1811,
,309,,,560000,1112,500.0,,,39.81981057,1811,
,309,,,560000,1116,500.0,,,39.81981057,1811,
,309,,,560000,1120,500.0,,,39.81981057,1811,
28334,309,0.0019236039370298386,0.00075,570000,1124,500.0,-9.603082656860352,0.009341899305582047,42.97992902,1843,-8.193187713623047
,309,,,570000,1128,500.0,,,42.97992902,1843,
,309,,,570000,1132,500.0,,,42.97992902,1843,
,309,,,570000,1136,500.0,,,42.97992902,1843,
,309,,,570000,1140,500.0,,,42.97992902,1843,
28834,309,0.001957960892468691,0.00075,580000,1144,500.0,6.260227203369141,0.031837496906518936,39.41591834,1875,-8.199774742126465
,309,,,580000,1148,500.0,,,39.41591834,1875,
,309,,,580000,1152,500.0,,,39.41591834,1875,
,309,,,580000,1156,500.0,,,39.41591834,1875,
,309,,,580000,1160,500.0,,,39.41591834,1875,
29334,309,0.002099629957228899,0.00075,590000,1164,500.0,10.950026512145996,0.022032517939805984,32.01412093,1907,-8.000718116760254
,309,,,590000,1168,500.0,,,32.01412093,1907,
,309,,,590000,1172,500.0,,,32.01412093,1907,
,309,,,590000,1176,500.0,,,32.01412093,1907,
,309,,,590000,1180,500.0,,,32.01412093,1907,
29834,309,0.0019913362339138985,0.00075,600000,1184,500.0,-4.78415584564209,0.009189160540699959,30.843671080000004,1939,-8.031208038330078
,309,,,600000,1188,500.0,,,30.843671080000004,1939,
,309,,,600000,1192,500.0,,,30.843671080000004,1939,
,309,,,600000,1196,500.0,,,30.843671080000004,1939,
,309,,,600000,1200,500.0,,,30.843671080000004,1939,
30334,309,0.0019507274264469743,0.00075,610000,1204,500.0,-2.411489963531494,0.0251631960272789,29.178100579999995,1971,-7.9439473152160645
,309,,,610000,1208,500.0,,,29.178100579999995,1971,
,309,,,610000,1212,500.0,,,29.178100579999995,1971,
,309,,,610000,1216,500.0,,,29.178100579999995,1971,
,309,,,610000,1220,500.0,,,29.178100579999995,1971,
30834,309,0.0020353097934275866,0.00075,620000,1224,500.0,-0.11699450016021729,0.5181918144226074,28.42132915,2004,-7.715839385986328
,309,,,620000,1228,500.0,,,28.42132915,2004,
,309,,,620000,1232,500.0,,,28.42132915,2004,
,309,,,620000,1236,500.0,,,28.42132915,2004,
,309,,,620000,1240,500.0,,,28.42132915,2004,
31334,309,0.0020248908549547195,0.00075,630000,1244,500.0,-1.5183238983154297,0.013331884518265724,28.292374010000003,2036,-7.457505702972412
,309,,,630000,1248,500.0,,,28.292374010000003,2036,
,309,,,630000,1252,500.0,,,28.292374010000003,2036,
,309,,,630000,1256,500.0,,,28.292374010000003,2036,
,309,,,630000,1260,500.0,,,28.292374010000003,2036,
31834,309,0.0019129867432639003,0.00075,640000,1264,500.0,-11.322446823120117,0.015974249690771103,36.66957704,2069,-7.791875839233398
,309,,,640000,1268,500.0,,,36.66957704,2069,
,309,,,640000,1272,500.0,,,36.66957704,2069,
,309,,,640000,1276,500.0,,,36.66957704,2069,
,309,,,640000,1280,500.0,,,36.66957704,2069,
32334,309,0.002042846055701375,0.00075,650000,1284,500.0,-9.117759704589844,0.011820061132311821,42.30693975,2102,-7.939538955688477
,309,,,650000,1288,500.0,,,42.30693975,2102,
,309,,,650000,1292,500.0,,,42.30693975,2102,
,309,,,650000,1296,500.0,,,42.30693975,2102,
,309,,,650000,1300,500.0,,,42.30693975,2102,
32834,309,0.002005898393690586,0.00075,660000,1304,500.0,-1.786763072013855,0.011093387380242348,54.284588809999995,2134,-7.447635173797607
,309,,,660000,1308,500.0,,,54.284588809999995,2134,
,309,,,660000,1312,500.0,,,54.284588809999995,2134,
,309,,,660000,1316,500.0,,,54.284588809999995,2134,
,309,,,660000,1320,500.0,,,54.284588809999995,2134,
33334,309,0.0019587695132941008,0.00075,670000,1324,500.0,-4.797669410705566,0.010893505066633224,59.02250821,2166,-7.544069290161133
,309,,,670000,1328,500.0,,,59.02250821,2166,
,309,,,670000,1332,500.0,,,59.02250821,2166,
,309,,,670000,1336,500.0,,,59.02250821,2166,
,309,,,670000,1340,500.0,,,59.02250821,2166,
33834,309,0.0020557937677949667,0.00075,680000,1344,500.0,0.39588022232055664,0.01602102816104889,60.341150070000005,2198,-7.623725891113281
,309,,,680000,1348,500.0,,,60.341150070000005,2198,
,309,,,680000,1352,500.0,,,60.341150070000005,2198,
,309,,,680000,1356,500.0,,,60.341150070000005,2198,
,309,,,680000,1360,500.0,,,60.341150070000005,2198,
34334,309,0.002189067890867591,0.00075,690000,1364,500.0,-0.43327927589416504,0.02149231545627117,66.51782116,2230,-7.364858627319336
,309,,,690000,1368,500.0,,,66.51782116,2230,
,309,,,690000,1372,500.0,,,66.51782116,2230,
,309,,,690000,1376,500.0,,,66.51782116,2230,
,309,,,690000,1380,500.0,,,66.51782116,2230,
34834,309,0.002304940251633525,0.00075,700000,1384,500.0,-5.224130153656006,0.03426705673336983,63.7233969,2262,-7.510965347290039
,309,,,700000,1388,500.0,,,63.7233969,2262,
,309,,,700000,1392,500.0,,,63.7233969,2262,
,309,,,700000,1396,500.0,,,63.7233969,2262,
,309,,,700000,1400,500.0,,,63.7233969,2262,
35334,309,0.002204217715188861,0.00075,710000,1404,500.0,-2.4683971405029297,0.015473714098334312,61.796354019999995,2295,-7.787946701049805
,309,,,710000,1408,500.0,,,61.796354019999995,2295,
,309,,,710000,1412,500.0,,,61.796354019999995,2295,
,309,,,710000,1416,500.0,,,61.796354019999995,2295,
,309,,,710000,1420,500.0,,,61.796354019999995,2295,
35834,309,0.002191202249377966,0.00075,720000,1424,500.0,0.8455096483230591,0.4009619653224945,76.45007518,2328,-7.338034152984619
,309,,,720000,1428,500.0,,,76.45007518,2328,
,309,,,720000,1432,500.0,,,76.45007518,2328,
,309,,,720000,1436,500.0,,,76.45007518,2328,
,309,,,720000,1440,500.0,,,76.45007518,2328,
36334,309,0.0022635546047240496,0.00075,730000,1444,500.0,-4.5158538818359375,0.3859959840774536,84.99887570000001,2360,-7.545196533203125
,309,,,730000,1448,500.0,,,84.99887570000001,2360,
,309,,,730000,1452,500.0,,,84.99887570000001,2360,
,309,,,730000,1456,500.0,,,84.99887570000001,2360,
,309,,,730000,1460,500.0,,,84.99887570000001,2360,
36834,309,0.002444040961563587,0.00075,740000,1464,500.0,-4.000743389129639,0.03550098463892937,90.43347694,2392,-8.002662658691406
,309,,,740000,1468,500.0,,,90.43347694,2392,
,309,,,740000,1472,500.0,,,90.43347694,2392,
,309,,,740000,1476,500.0,,,90.43347694,2392,
,309,,,740000,1480,500.0,,,90.43347694,2392,
37334,309,0.0023626447655260563,0.00075,750000,1484,500.0,-3.597381591796875,0.3957836627960205,100.81717019000001,2425,-7.7617645263671875
,309,,,750000,1488,500.0,,,100.81717019000001,2425,
,309,,,750000,1492,500.0,,,100.81717019000001,2425,
,309,,,750000,1496,500.0,,,100.81717019000001,2425,
,309,,,750000,1500,500.0,,,100.81717019000001,2425,
37834,309,0.0025350209325551987,0.00075,760000,1504,500.0,-4.6215128898620605,0.3739089369773865,103.88412811,2457,-7.709299564361572
,309,,,760000,1508,500.0,,,103.88412811,2457,
,309,,,760000,1512,500.0,,,103.88412811,2457,
,309,,,760000,1516,500.0,,,103.88412811,2457,
,309,,,760000,1520,500.0,,,103.88412811,2457,
38334,309,0.0023612899240106344,0.00075,770000,1524,500.0,0.14079713821411133,0.02351837232708931,109.0606882,2489,-8.2869291305542
,309,,,770000,1528,500.0,,,109.0606882,2489,
