train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,train/actor_loss
-40.89226150512695,0.027286963537335396,0.00075,0.030687987804412842,2.3604462200000005,500.0,4834,301,184,100000,331,-21.58139991760254
,,,,2.3604462200000005,500.0,,301,188,100000,331,
,,,,2.3604462200000005,500.0,,301,192,100000,331,
,,,,2.3604462200000005,500.0,,301,196,100000,331,
,,,,2.3604462200000005,500.0,,301,200,100000,331,
-41.695621490478516,0.01915271393954754,0.00075,0.0389503613114357,2.2976500300000002,500.0,5334,301,204,110000,365,-21.103561401367188
,,,,2.2976500300000002,500.0,,301,208,110000,365,
,,,,2.2976500300000002,500.0,,301,212,110000,365,
,,,,2.2976500300000002,500.0,,301,216,110000,365,
,,,,2.2976500300000002,500.0,,301,220,110000,365,
-40.31536102294922,0.013788796961307526,0.00075,0.025112446397542953,2.5741214399999994,500.0,5834,302,224,120000,397,-20.655200958251953
,,,,2.5741214399999994,500.0,,302,228,120000,397,
,,,,2.5741214399999994,500.0,,301,232,120000,397,
,,,,2.5741214399999994,500.0,,301,236,120000,397,
,,,,2.5741214399999994,500.0,,301,240,120000,397,
-29.306541442871094,0.010164511390030384,0.00075,0.03081318736076355,3.1119906000000004,500.0,6334,302,244,130000,429,-20.094837188720703
,,,,3.1119906000000004,500.0,,302,248,130000,429,
,,,,3.1119906000000004,500.0,,302,252,130000,429,
,,,,3.1119906000000004,500.0,,302,256,130000,429,
,,,,3.1119906000000004,500.0,,302,260,130000,429,
-30.660511016845703,0.007635330781340599,0.00075,0.023386280983686447,2.96364692,500.0,6834,301,264,140000,463,-19.442798614501953
,,,,2.96364692,500.0,,301,268,140000,463,
,,,,2.96364692,500.0,,301,272,140000,463,
,,,,2.96364692,500.0,,301,276,140000,463,
,,,,2.96364692,500.0,,301,280,140000,463,
-34.376319885253906,0.005862720310688019,0.00075,0.042825907468795776,2.851582889999999,500.0,7334,302,284,150000,495,-18.834278106689453
,,,,2.851582889999999,500.0,,302,288,150000,495,
,,,,2.851582889999999,500.0,,302,292,150000,495,
,,,,2.851582889999999,500.0,,302,296,150000,495,
,,,,2.851582889999999,500.0,,302,300,150000,495,
27.13152313232422,0.004765805788338184,0.00075,0.06974637508392334,2.9954987300000004,500.0,7834,303,304,160000,527,-18.373340606689453
,,,,2.9954987300000004,500.0,,303,308,160000,527,
,,,,2.9954987300000004,500.0,,303,312,160000,527,
,,,,2.9954987300000004,500.0,,303,316,160000,527,
,,,,2.9954987300000004,500.0,,303,320,160000,527,
-12.25901985168457,0.0044691660441458225,0.00075,0.048204220831394196,2.7579103599999995,500.0,8334,303,324,170000,560,-18.141616821289062
,,,,2.7579103599999995,500.0,,303,328,170000,560,
,,,,2.7579103599999995,500.0,,303,332,170000,560,
,,,,2.7579103599999995,500.0,,303,336,170000,560,
,,,,2.7579103599999995,500.0,,303,340,170000,560,
2.104417562484741,0.003974121063947678,0.00075,0.025671886280179024,2.3760647599999998,500.0,8834,302,344,180000,594,-17.511329650878906
,,,,2.3760647599999998,500.0,,302,348,180000,594,
,,,,2.3760647599999998,500.0,,302,352,180000,594,
,,,,2.3760647599999998,500.0,,302,356,180000,594,
