train/n_updates,train/ent_coef,train/critic_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/learning_rate,rollout/ep_len_mean
8764,0.004207503981888294,0.03347715735435486,215,240,0.0,584,-18.207334518432617,-10.443363189697266,126000,0.00075,500.0
,,,215,250,0.0,584,,,126000,,500.0
9264,0.0037388638593256474,0.028595203533768654,215,260,0.0,616,-17.14923858642578,-3.660032033920288,133000,0.00075,500.0
9764,0.003358348971232772,0.08777354657649994,215,270,0.0,648,-16.44033432006836,-13.049264907836914,140000,0.00075,500.0
,,,215,280,0.0,648,,,140000,,500.0
10264,0.0030708659905940294,4.875423431396484,215,290,0.0,681,-16.436355590820312,-11.727621078491211,147000,0.00075,500.0
10764,0.0030004619620740414,0.03166066110134125,215,300,0.0,713,-16.32076644897461,-10.368552207946777,154000,0.00075,500.0
11264,0.0029401809442788363,0.021812191233038902,215,310,0.0,746,-16.212703704833984,4.222818374633789,161000,0.00075,500.0
,,,215,320,0.0,746,,,161000,,500.0
11764,0.002852744422852993,0.01602764055132866,215,330,0.0,779,-15.846784591674805,-0.1867871880531311,168000,0.00075,500.0
12264,0.0026584621518850327,0.02176196686923504,215,340,0.0,813,-15.496025085449219,7.602777481079102,175000,0.00075,500.0
,,,215,350,0.0,813,,,175000,,500.0
12764,0.003050640458241105,0.024491913616657257,214,360,0.0,847,-14.927236557006836,-2.167135715484619,182000,0.00075,500.0
13264,0.002744450932368636,0.024340800940990448,214,370,0.0,880,-14.99407958984375,5.536983013153076,189000,0.00075,500.0
13764,0.002526845782995224,0.028543813154101372,214,380,0.0,915,-14.727117538452148,3.6578426361083984,196000,0.00075,500.0
,,,214,390,0.0,915,,,196000,,500.0
14264,0.0025716139934957027,0.01836240664124489,213,400,0.0,949,-14.225327491760254,2.1141185760498047,203000,0.00075,500.0
14764,0.002457550261169672,0.04807894676923752,213,410,0.0,983,-13.685249328613281,-1.980379343032837,210000,0.00075,500.0
,,,213,420,0.0,983,,,210000,,500.0
15264,0.0027084832545369864,0.020445067435503006,213,430,0.0,1017,-13.785770416259766,2.035886287689209,217000,0.00075,500.0
15764,0.0021842389833182096,0.027234619483351707,212,440,0.0,1051,-13.377862930297852,-4.284158229827881,224000,0.00075,500.0
16264,0.0021378451492637396,0.01498311385512352,212,450,0.0,1085,-13.185178756713867,2.9764485359191895,231000,0.00075,500.0
,,,212,460,0.0,1085,,,231000,,500.0
16764,0.002180439652875066,1.5457215309143066,212,470,0.0,1118,-12.72116470336914,-1.8752431869506836,238000,0.00075,500.0
17264,0.001786685548722744,0.025773800909519196,212,480,0.0,1151,-12.524334907531738,16.137035369873047,245000,0.00075,500.0
,,,212,490,0.0,1151,,,245000,,500.0
17764,0.0017763590440154076,0.014718001708388329,212,500,0.0,1185,-12.203842163085938,-1.9060146808624268,252000,0.00075,500.0
18264,0.0017925268039107323,0.017761006951332092,212,510,0.0,1218,-12.050724029541016,5.110020637512207,259000,0.00075,500.0
18764,0.0017819616477936506,0.013478828594088554,212,520,0.09,1252,-11.735491752624512,-8.885326385498047,266000,0.00075,500.0
,,,212,530,0.09,1252,,,266000,,500.0
19264,0.0016868989914655685,0.01542225107550621,212,540,0.09,1285,-11.409859657287598,-1.8317973613739014,273000,0.00075,500.0
19764,0.0019298485713079572,0.9296164512634277,212,550,0.09,1318,-11.033491134643555,4.971942901611328,280000,0.00075,500.0
,,,212,560,0.09,1318,,,280000,,500.0
20264,0.001676041167229414,1.048701524734497,212,570,0.09,1352,-10.885078430175781,-5.730165004730225,287000,0.00075,500.0
20764,0.0017544127767905593,0.9679241180419922,212,580,0.09,1386,-10.604143142700195,2.350315570831299,294000,0.00075,500.0
21264,0.0017976958770304918,0.008803671225905418,211,590,0.09,1420,-10.41631031036377,-3.754572629928589,301000,0.00075,500.0
,,,211,600,0.09,1420,,,301000,,500.0
21764,0.0019120493670925498,0.8788288235664368,211,610,0.09,1453,-10.07506275177002,-1.6938592195510864,308000,0.00075,500.0
22264,0.001712982659228146,0.015324818901717663,211,620,0.0,1487,-9.725152969360352,7.892670631408691,315000,0.00075,500.0
,,,211,630,0.0,1487,,,315000,,500.0
22764,0.0015710466541349888,0.8536206483840942,211,640,0.0,1522,-9.806608200073242,-11.254754066467285,322000,0.00075,500.0
23264,0.0014658457366749644,0.008175669237971306,211,650,0.0,1555,-9.562962532043457,0.31462562084198,329000,0.00075,500.0
23764,0.001488656154833734,0.011455352418124676,211,660,0.0,1589,-9.259289741516113,3.328028440475464,336000,0.00075,500.0
,,,211,670,0.0,1589,,,336000,,500.0
24264,0.0014264063211157918,0.01060471497476101,211,680,0.0,1623,-8.991044998168945,-2.0892114639282227,343000,0.00075,500.0
24764,0.0014924700371921062,0.01020273007452488,211,690,0.0,1656,-8.768192291259766,-3.0847020149230957,350000,0.00075,500.0
,,,211,700,0.0,1656,,,350000,,500.0
25264,0.0014204211765900254,0.6275969743728638,211,710,0.0,1690,-8.702204704284668,4.450758934020996,357000,0.00075,500.0
25764,0.0012388803297653794,0.015029838308691978,211,720,0.0,1723,-8.609261512756348,-2.229980230331421,364000,0.00075,500.0
26264,0.0013295734534040093,0.006084316875785589,211,730,0.0,1757,-8.29114055633545,-5.01341438293457,371000,0.00075,500.0
,,,211,740,0.0,1757,,,371000,,500.0
26764,0.0012903257738798857,0.005074109882116318,211,750,0.0,1791,-8.134941101074219,6.269477844238281,378000,0.00075,500.0
27264,0.0013463761424645782,0.0038319944869726896,211,760,0.0,1824,-7.862253189086914,-3.9145116806030273,385000,0.00075,500.0
,,,211,770,0.0,1824,,,385000,,500.0
27764,0.001174039556644857,0.005278098396956921,211,780,0.0,1857,-7.77954626083374,-3.01298189163208,392000,0.00075,500.0
28264,0.001204780419357121,0.11374770849943161,210,790,0.0,1891,-7.599188327789307,1.1877169609069824,399000,0.00075,500.0
28764,0.001368316705338657,0.00653553381562233,210,800,0.0,1924,-7.432674407958984,-4.489985942840576,406000,0.00075,500.0
,,,210,810,0.0,1924,,,406000,,500.0
29264,0.0012428363552317023,0.006130637601017952,210,820,0.0,1958,-7.214848518371582,-1.7160687446594238,413000,0.00075,500.0
29764,0.001210103859193623,0.005520462989807129,210,830,0.0,1991,-6.974285125732422,-7.955991268157959,420000,0.00075,500.0
