rollout/ep_rew_mean,train/n_updates,train/ent_coef_loss,train/critic_loss,train/actor_loss,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,train/learning_rate,train/ent_coef,time/total_timesteps
0.0,10764,-5.071028709411621,0.016342874616384506,-16.601451873779297,300,500.0,218,706,0.00075,0.0033490932546555996,154000
0.0,11264,13.026019096374512,0.019773881882429123,-16.41545295715332,310,500.0,217,738,0.00075,0.0034846453927457333,161000
0.0,,,,,320,500.0,217,738,,,161000
0.0,11764,0.9981684684753418,0.03502941131591797,-16.08976936340332,330,500.0,218,769,0.00075,0.00312071293592453,168000
0.0,12264,-5.729305267333984,0.040820226073265076,-15.665173530578613,340,500.0,218,801,0.00075,0.003033531131222844,175000
0.0,,,,,350,500.0,218,801,,,175000
0.0,12764,-9.21004867553711,1.230659008026123,-15.28722858428955,360,500.0,218,832,0.00075,0.0031358113046735525,182000
0.0,13264,3.8171606063842773,1.8328375816345215,-15.016307830810547,370,500.0,218,864,0.00075,0.00292208231985569,189000
0.0,13764,3.330491304397583,0.020238015800714493,-14.337276458740234,380,500.0,218,895,0.00075,0.0027509129140526056,196000
0.0,,,,,390,500.0,218,895,,,196000
0.0,14264,2.1094274520874023,0.018971890211105347,-14.26937484741211,400,500.0,218,926,0.00075,0.002923630876466632,203000
0.0,14764,-7.358004570007324,0.041492290794849396,-13.763816833496094,410,500.0,219,958,0.00075,0.0027371086180210114,210000
0.0,,,,,420,500.0,219,958,,,210000
0.0,15264,0.7894806861877441,0.025437116622924805,-13.80589485168457,430,500.0,218,991,0.00075,0.002614198252558708,217000
0.0,15764,-8.672950744628906,1.5263432264328003,-13.183549880981445,440,500.0,219,1022,0.00075,0.0023320044856518507,224000
0.0,16264,3.541619062423706,0.012881751172244549,-12.820854187011719,450,500.0,218,1054,0.00075,0.002325260080397129,231000
0.0,,,,,460,500.0,218,1054,,,231000
0.0,16764,7.5594377517700195,0.02038859948515892,-12.497444152832031,470,500.0,219,1086,0.00075,0.002315677935257554,238000
0.0,17264,-8.784040451049805,0.010939439758658409,-12.312911987304688,480,500.0,219,1117,0.00075,0.002513626590371132,245000
0.0,,,,,490,500.0,219,1117,,,245000
0.0,17764,3.596985340118408,0.6068359613418579,-11.821833610534668,500,500.0,219,1149,0.00075,0.0021708705462515354,252000
0.0,18264,-7.9053521156311035,3.1350064277648926,-11.612643241882324,510,500.0,219,1180,0.00075,0.0020935186184942722,259000
0.0,18764,-1.8371901512145996,1.1974704265594482,-11.372684478759766,520,500.0,219,1213,0.00075,0.0019314347300678492,266000
0.0,,,,,530,500.0,219,1213,,,266000
0.0,19264,2.8290913105010986,0.006272884085774422,-11.435598373413086,540,500.0,219,1244,0.00075,0.0019054942531511188,273000
0.0,19764,-13.498680114746094,0.020735105499625206,-11.107202529907227,550,500.0,219,1275,0.00075,0.0020865523256361485,280000
0.0,,,,,560,500.0,219,1275,,,280000
0.0,20264,-1.1391607522964478,0.009084343910217285,-10.87138557434082,570,500.0,219,1308,0.00075,0.0018776733195409179,287000
0.0,20764,7.134572505950928,0.011950847692787647,-10.541352272033691,580,500.0,219,1339,0.00075,0.0019194340566173196,294000
0.0,21264,-7.026638984680176,0.04730384796857834,-9.966506004333496,590,500.0,219,1371,0.00075,0.0016171018360182643,301000
0.0,,,,,600,500.0,219,1371,,,301000
